"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003012","GO:0003012","muscle system process","48/644","489/21468",0.098159509202454,3.27218686887932,8.93825247958993,5.88708519196672e-13,2.66920442603771e-09,2.07287368075039e-09,"ENSG00000007314/ENSG00000017427/ENSG00000018625/ENSG00000034971/ENSG00000036448/ENSG00000076555/ENSG00000077157/ENSG00000089250/ENSG00000100678/ENSG00000102468/ENSG00000105974/ENSG00000108823/ENSG00000109063/ENSG00000115353/ENSG00000118729/ENSG00000119508/ENSG00000120049/ENSG00000120907/ENSG00000123358/ENSG00000124205/ENSG00000130037/ENSG00000130595/ENSG00000131730/ENSG00000132170/ENSG00000133392/ENSG00000134548/ENSG00000136160/ENSG00000136546/ENSG00000141052/ENSG00000148180/ENSG00000149575/ENSG00000153253/ENSG00000163884/ENSG00000164530/ENSG00000166257/ENSG00000168356/ENSG00000169252/ENSG00000169432/ENSG00000174697/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000180914/ENSG00000182132/ENSG00000186439/ENSG00000187955/ENSG00000234438/ENSG00000266964",48
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","35/644","291/21468",0.120274914089347,4.00941281936351,9.08955406293833,2.99100253144358e-12,6.78060273878259e-09,5.26573866719935e-09,"ENSG00000004948/ENSG00000043591/ENSG00000064989/ENSG00000065325/ENSG00000069122/ENSG00000078549/ENSG00000080293/ENSG00000089250/ENSG00000106113/ENSG00000111452/ENSG00000118432/ENSG00000120907/ENSG00000122420/ENSG00000126895/ENSG00000129467/ENSG00000135298/ENSG00000138039/ENSG00000141404/ENSG00000146469/ENSG00000150471/ENSG00000156920/ENSG00000162618/ENSG00000164849/ENSG00000166573/ENSG00000169252/ENSG00000169313/ENSG00000170262/ENSG00000170989/ENSG00000173175/ENSG00000180264/ENSG00000181656/ENSG00000183134/ENSG00000185149/ENSG00000186642/ENSG00000188778",35
"GO:0003018","GO:0003018","vascular process in circulatory system","35/644","303/21468",0.115511551155116,3.85062419285407,8.78817464068184,9.58344621708422e-12,1.44837817160866e-08,1.12479395074199e-08,"ENSG00000018625/ENSG00000043591/ENSG00000085563/ENSG00000089250/ENSG00000102468/ENSG00000105974/ENSG00000109610/ENSG00000115353/ENSG00000116678/ENSG00000118777/ENSG00000120156/ENSG00000120907/ENSG00000124205/ENSG00000126895/ENSG00000127528/ENSG00000129244/ENSG00000130037/ENSG00000135218/ENSG00000136160/ENSG00000139155/ENSG00000144668/ENSG00000146477/ENSG00000152779/ENSG00000153162/ENSG00000165349/ENSG00000169252/ENSG00000169418/ENSG00000174697/ENSG00000179776/ENSG00000180914/ENSG00000181856/ENSG00000184113/ENSG00000186642/ENSG00000188778/ENSG00000244734",35
"GO:0006936","GO:0006936","muscle contraction","39/644","378/21468",0.103174603174603,3.43936705116829,8.41455779636357,2.06887531395482e-11,2.34507016836779e-08,1.82115471715234e-08,"ENSG00000007314/ENSG00000018625/ENSG00000036448/ENSG00000077157/ENSG00000089250/ENSG00000100678/ENSG00000102468/ENSG00000105974/ENSG00000108823/ENSG00000109063/ENSG00000115353/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000123358/ENSG00000124205/ENSG00000130037/ENSG00000130595/ENSG00000131730/ENSG00000133392/ENSG00000134548/ENSG00000136160/ENSG00000136546/ENSG00000141052/ENSG00000148180/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000169252/ENSG00000169432/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000180914/ENSG00000182132/ENSG00000186439/ENSG00000234438/ENSG00000266964",39
"GO:0007189","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","26/644","194/21468",0.134020618556701,4.46763142729077,8.53209636909713,1.78103415996221e-10,1.61504177625373e-07,1.25422300317339e-07,"ENSG00000004948/ENSG00000043591/ENSG00000064989/ENSG00000069122/ENSG00000080293/ENSG00000089250/ENSG00000111452/ENSG00000118432/ENSG00000120907/ENSG00000122420/ENSG00000129467/ENSG00000135298/ENSG00000138039/ENSG00000141404/ENSG00000146469/ENSG00000150471/ENSG00000156920/ENSG00000162618/ENSG00000166573/ENSG00000169252/ENSG00000170262/ENSG00000170989/ENSG00000173175/ENSG00000180264/ENSG00000186642/ENSG00000188778",26
"GO:0060047","GO:0060047","heart contraction","30/644","269/21468",0.111524163568773,3.71770301784848,7.88800148118648,6.94892487532614e-10,5.25107089745478e-07,4.07792170315192e-07,"ENSG00000007314/ENSG00000018625/ENSG00000043591/ENSG00000089250/ENSG00000100678/ENSG00000102683/ENSG00000105974/ENSG00000116016/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000124205/ENSG00000129244/ENSG00000130037/ENSG00000134548/ENSG00000136160/ENSG00000136546/ENSG00000148180/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000169432/ENSG00000173641/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000266964",30
"GO:0003015","GO:0003015","heart process","30/644","278/21468",0.107913669064748,3.59734572590375,7.66537163243009,1.53160634889436e-09,9.92043312269578e-07,7.70409509331075e-07,"ENSG00000007314/ENSG00000018625/ENSG00000043591/ENSG00000089250/ENSG00000100678/ENSG00000102683/ENSG00000105974/ENSG00000116016/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000124205/ENSG00000129244/ENSG00000130037/ENSG00000134548/ENSG00000136160/ENSG00000136546/ENSG00000148180/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000169432/ENSG00000173641/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000266964",30
"GO:0019216","GO:0019216","regulation of lipid metabolic process","35/644","375/21468",0.0933333333333333,3.11130434782609,7.25343684201125,3.29297834149055e-09,1.86629547503977e-06,1.44934375687972e-06,"ENSG00000004799/ENSG00000009950/ENSG00000067113/ENSG00000069122/ENSG00000076555/ENSG00000084674/ENSG00000094963/ENSG00000095637/ENSG00000102468/ENSG00000105974/ENSG00000111405/ENSG00000113580/ENSG00000114771/ENSG00000115361/ENSG00000118432/ENSG00000120738/ENSG00000124253/ENSG00000130173/ENSG00000132170/ENSG00000138039/ENSG00000138135/ENSG00000141431/ENSG00000145335/ENSG00000151468/ENSG00000153162/ENSG00000164849/ENSG00000167910/ENSG00000170509/ENSG00000174697/ENSG00000176194/ENSG00000181092/ENSG00000182782/ENSG00000187288/ENSG00000189058/ENSG00000196139",35
"GO:0008217","GO:0008217","regulation of blood pressure","25/644","208/21468",0.120192307692308,4.0066591017678,7.66268127654177,3.98528310546592e-09,2.00769706668694e-06,1.55915461845421e-06,"ENSG00000006128/ENSG00000018625/ENSG00000043591/ENSG00000089250/ENSG00000092009/ENSG00000100448/ENSG00000103647/ENSG00000115353/ENSG00000118432/ENSG00000118515/ENSG00000120907/ENSG00000124205/ENSG00000126895/ENSG00000132170/ENSG00000133116/ENSG00000134548/ENSG00000136160/ENSG00000139567/ENSG00000169252/ENSG00000169418/ENSG00000174697/ENSG00000180914/ENSG00000181092/ENSG00000188778/ENSG00000244734",25
"GO:1903522","GO:1903522","regulation of blood circulation","29/644","290/21468",0.1,3.33354037267081,7.03587929534004,1.61965902629693e-08,7.34353402523027e-06,5.7029046768034e-06,"ENSG00000018625/ENSG00000043591/ENSG00000089250/ENSG00000100678/ENSG00000102468/ENSG00000105974/ENSG00000115353/ENSG00000116016/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000124205/ENSG00000126895/ENSG00000129244/ENSG00000130037/ENSG00000134548/ENSG00000136160/ENSG00000144668/ENSG00000149575/ENSG00000166257/ENSG00000173641/ENSG00000174697/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000180914/ENSG00000182132/ENSG00000186439/ENSG00000266964",29
"GO:0034308","GO:0034308","primary alcohol metabolic process","18/644","123/21468",0.146341463414634,4.87835176488411,7.58574443713441,2.85198119197935e-08,1.1755347931304e-05,9.12906898293869e-06,"ENSG00000017427/ENSG00000079435/ENSG00000128918/ENSG00000135437/ENSG00000136160/ENSG00000138207/ENSG00000140459/ENSG00000140505/ENSG00000151632/ENSG00000153162/ENSG00000165092/ENSG00000187134/ENSG00000187758/ENSG00000196139/ENSG00000196616/ENSG00000198075/ENSG00000198099/ENSG00000248144",18
"GO:0003014","GO:0003014","renal system process","19/644","139/21468",0.136690647482014,4.55663791947808,7.39789804493259,3.66797136942256e-08,1.38588184908016e-05,1.07626002023846e-05,"ENSG00000069122/ENSG00000103647/ENSG00000115353/ENSG00000118515/ENSG00000118777/ENSG00000126895/ENSG00000134548/ENSG00000136160/ENSG00000146021/ENSG00000148180/ENSG00000164007/ENSG00000168356/ENSG00000169418/ENSG00000174059/ENSG00000181092/ENSG00000196139/ENSG00000197891/ENSG00000240583/ENSG00000244734",19
"GO:0050886","GO:0050886","endocrine process","16/644","101/21468",0.158415841584158,5.28085603591415,7.58343675287039,5.36608961690196e-08,1.87152694792565e-05,1.45340645899086e-05,"ENSG00000092009/ENSG00000100448/ENSG00000115353/ENSG00000119147/ENSG00000124205/ENSG00000126895/ENSG00000132170/ENSG00000136160/ENSG00000145708/ENSG00000153162/ENSG00000166573/ENSG00000174697/ENSG00000174804/ENSG00000180914/ENSG00000182782/ENSG00000240583",16
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","21/644","173/21468",0.121387283236994,4.04649409399347,7.0750759149256,5.86621810594555e-08,1.89981663516837e-05,1.47537590709683e-05,"ENSG00000004948/ENSG00000006128/ENSG00000078549/ENSG00000089250/ENSG00000092051/ENSG00000102468/ENSG00000105974/ENSG00000115353/ENSG00000120907/ENSG00000122420/ENSG00000135218/ENSG00000136160/ENSG00000137672/ENSG00000138039/ENSG00000139151/ENSG00000166405/ENSG00000166573/ENSG00000168329/ENSG00000173175/ENSG00000173432/ENSG00000180914",21
"GO:1901342","GO:1901342","regulation of vasculature development","34/644","402/21468",0.0845771144278607,2.81941225549272,6.47589258690402,6.35482403213954e-08,1.92085147744804e-05,1.49171132543907e-05,"ENSG00000000005/ENSG00000004776/ENSG00000066056/ENSG00000092009/ENSG00000101280/ENSG00000106004/ENSG00000114378/ENSG00000117525/ENSG00000120156/ENSG00000126785/ENSG00000127528/ENSG00000128052/ENSG00000132170/ENSG00000135218/ENSG00000135298/ENSG00000136158/ENSG00000136244/ENSG00000136826/ENSG00000138685/ENSG00000139567/ENSG00000142515/ENSG00000143125/ENSG00000154734/ENSG00000163638/ENSG00000164619/ENSG00000168329/ENSG00000169418/ENSG00000171819/ENSG00000174059/ENSG00000174697/ENSG00000179776/ENSG00000184113/ENSG00000240583/ENSG00000249751",34
"GO:0097305","GO:0097305","response to alcohol","29/644","312/21468",0.092948717948718,3.09848303870043,6.56617593997311,8.07705695162417e-08,2.10223563827161e-05,1.63257219372195e-05,"ENSG00000069702/ENSG00000078549/ENSG00000108342/ENSG00000115353/ENSG00000118432/ENSG00000118515/ENSG00000119138/ENSG00000122420/ENSG00000124253/ENSG00000125740/ENSG00000126545/ENSG00000127528/ENSG00000129596/ENSG00000136826/ENSG00000137077/ENSG00000138685/ENSG00000145708/ENSG00000151632/ENSG00000167910/ENSG00000168356/ENSG00000170345/ENSG00000173175/ENSG00000174697/ENSG00000175899/ENSG00000181092/ENSG00000181195/ENSG00000181856/ENSG00000184113/ENSG00000196139",29
"GO:0001508","GO:0001508","action potential","22/644","192/21468",0.114583333333333,3.81968167701863,6.9016390130142,8.08872233547696e-08,2.10223563827161e-05,1.63257219372195e-05,"ENSG00000007314/ENSG00000018625/ENSG00000089250/ENSG00000105974/ENSG00000115353/ENSG00000118432/ENSG00000120049/ENSG00000120907/ENSG00000130037/ENSG00000135218/ENSG00000136546/ENSG00000148053/ENSG00000149575/ENSG00000153253/ENSG00000158445/ENSG00000164007/ENSG00000166257/ENSG00000168356/ENSG00000169432/ENSG00000177098/ENSG00000180509/ENSG00000181656",22
"GO:0003044","GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal","11/644","46/21468",0.239130434782609,7.9715095868215,8.32381216847562,8.34588475714359e-08,2.10223563827161e-05,1.63257219372195e-05,"ENSG00000043591/ENSG00000092009/ENSG00000100448/ENSG00000115353/ENSG00000120907/ENSG00000124205/ENSG00000126895/ENSG00000136160/ENSG00000169252/ENSG00000180914/ENSG00000188778",11
"GO:0045765","GO:0045765","regulation of angiogenesis","33/644","393/21468",0.083969465648855,2.79915603812053,6.33035183702656,1.17635477403907e-07,2.67512459052897e-05,2.07747121289889e-05,"ENSG00000000005/ENSG00000004776/ENSG00000066056/ENSG00000092009/ENSG00000101280/ENSG00000106004/ENSG00000114378/ENSG00000117525/ENSG00000120156/ENSG00000126785/ENSG00000127528/ENSG00000128052/ENSG00000132170/ENSG00000135218/ENSG00000135298/ENSG00000136158/ENSG00000136244/ENSG00000136826/ENSG00000138685/ENSG00000139567/ENSG00000142515/ENSG00000143125/ENSG00000154734/ENSG00000163638/ENSG00000164619/ENSG00000168329/ENSG00000169418/ENSG00000174059/ENSG00000174697/ENSG00000179776/ENSG00000184113/ENSG00000240583/ENSG00000249751",33
"GO:0035296","GO:0035296","regulation of tube diameter","20/644","165/21468",0.121212121212121,4.04065499717674,6.89501585458532,1.23902991621324e-07,2.67512459052897e-05,2.07747121289889e-05,"ENSG00000018625/ENSG00000043591/ENSG00000089250/ENSG00000102468/ENSG00000105974/ENSG00000109610/ENSG00000115353/ENSG00000120907/ENSG00000124205/ENSG00000126895/ENSG00000127528/ENSG00000130037/ENSG00000136160/ENSG00000144668/ENSG00000169252/ENSG00000169418/ENSG00000174697/ENSG00000180914/ENSG00000188778/ENSG00000244734",20
"GO:0097746","GO:0097746","blood vessel diameter maintenance","20/644","165/21468",0.121212121212121,4.04065499717674,6.89501585458532,1.23902991621324e-07,2.67512459052897e-05,2.07747121289889e-05,"ENSG00000018625/ENSG00000043591/ENSG00000089250/ENSG00000102468/ENSG00000105974/ENSG00000109610/ENSG00000115353/ENSG00000120907/ENSG00000124205/ENSG00000126895/ENSG00000127528/ENSG00000130037/ENSG00000136160/ENSG00000144668/ENSG00000169252/ENSG00000169418/ENSG00000174697/ENSG00000180914/ENSG00000188778/ENSG00000244734",20
"GO:0006066","GO:0006066","alcohol metabolic process","33/644","395/21468",0.0835443037974684,2.78498309615536,6.29674355317915,1.32419883628665e-07,2.7290534198744e-05,2.11935172601859e-05,"ENSG00000017427/ENSG00000067113/ENSG00000074660/ENSG00000078549/ENSG00000079435/ENSG00000084674/ENSG00000107611/ENSG00000115361/ENSG00000116678/ENSG00000124253/ENSG00000128918/ENSG00000135437/ENSG00000136160/ENSG00000138039/ENSG00000138135/ENSG00000138207/ENSG00000140459/ENSG00000140505/ENSG00000145335/ENSG00000151632/ENSG00000153162/ENSG00000162407/ENSG00000164849/ENSG00000165092/ENSG00000167910/ENSG00000174697/ENSG00000187134/ENSG00000187758/ENSG00000196139/ENSG00000196616/ENSG00000198075/ENSG00000198099/ENSG00000248144",33
"GO:0035249","GO:0035249","synaptic transmission, glutamatergic","17/644","122/21468",0.139344262295082,4.64509724060686,7.10031008390876,1.43676605750006e-07,2.74470196164715e-05,2.13150420488699e-05,"ENSG00000018625/ENSG00000081189/ENSG00000102468/ENSG00000104888/ENSG00000113580/ENSG00000116147/ENSG00000118432/ENSG00000137766/ENSG00000150394/ENSG00000151136/ENSG00000152578/ENSG00000169760/ENSG00000171189/ENSG00000180914/ENSG00000185345/ENSG00000189056/ENSG00000251322",17
"GO:0001935","GO:0001935","endothelial cell proliferation","23/644","215/21468",0.106976744186047,3.56611295681063,6.65014956094143,1.46438291233433e-07,2.74470196164715e-05,2.13150420488699e-05,"ENSG00000000005/ENSG00000037280/ENSG00000064300/ENSG00000066056/ENSG00000081189/ENSG00000105974/ENSG00000117525/ENSG00000120156/ENSG00000123358/ENSG00000128052/ENSG00000128918/ENSG00000132170/ENSG00000138685/ENSG00000139567/ENSG00000143125/ENSG00000153162/ENSG00000164619/ENSG00000168874/ENSG00000171951/ENSG00000173269/ENSG00000174059/ENSG00000174697/ENSG00000179388",23
"GO:0035150","GO:0035150","regulation of tube size","20/644","167/21468",0.119760479041916,3.99226391936624,6.82660335056557,1.51339984651916e-07,2.74470196164715e-05,2.13150420488699e-05,"ENSG00000018625/ENSG00000043591/ENSG00000089250/ENSG00000102468/ENSG00000105974/ENSG00000109610/ENSG00000115353/ENSG00000120907/ENSG00000124205/ENSG00000126895/ENSG00000127528/ENSG00000130037/ENSG00000136160/ENSG00000144668/ENSG00000169252/ENSG00000169418/ENSG00000174697/ENSG00000180914/ENSG00000188778/ENSG00000244734",20
"GO:1901890","GO:1901890","positive regulation of cell junction assembly","17/644","125/21468",0.136,4.5336149068323,6.96775749210041,2.05716087970692e-07,3.58737208791968e-05,2.78591220348973e-05,"ENSG00000034971/ENSG00000105974/ENSG00000120156/ENSG00000121871/ENSG00000128052/ENSG00000131409/ENSG00000135298/ENSG00000139567/ENSG00000146006/ENSG00000148053/ENSG00000158301/ENSG00000164007/ENSG00000169760/ENSG00000173114/ENSG00000180914/ENSG00000184113/ENSG00000185985",17
"GO:0071695","GO:0071695","anatomical structure maturation","27/644","294/21468",0.0918367346938776,3.06141462796299,6.25869947721658,2.87573877305936e-07,4.8291109618708e-05,3.75023243504233e-05,"ENSG00000017427/ENSG00000034971/ENSG00000074660/ENSG00000106004/ENSG00000106852/ENSG00000109906/ENSG00000116016/ENSG00000120049/ENSG00000127528/ENSG00000128052/ENSG00000128918/ENSG00000130173/ENSG00000132170/ENSG00000135298/ENSG00000136160/ENSG00000137077/ENSG00000139567/ENSG00000153902/ENSG00000158445/ENSG00000162367/ENSG00000166947/ENSG00000168329/ENSG00000170989/ENSG00000174697/ENSG00000179776/ENSG00000180509/ENSG00000186417",27
"GO:0001936","GO:0001936","regulation of endothelial cell proliferation","21/644","191/21468",0.109947643979058,3.66514910084225,6.50623179412827,3.206705398825e-07,4.88647646394776e-05,3.794781828966e-05,"ENSG00000000005/ENSG00000037280/ENSG00000064300/ENSG00000066056/ENSG00000081189/ENSG00000105974/ENSG00000117525/ENSG00000120156/ENSG00000123358/ENSG00000128052/ENSG00000128918/ENSG00000132170/ENSG00000138685/ENSG00000139567/ENSG00000143125/ENSG00000153162/ENSG00000168874/ENSG00000171951/ENSG00000173269/ENSG00000174697/ENSG00000179388",21
"GO:0045446","GO:0045446","endothelial cell differentiation","18/644","144/21468",0.125,4.16692546583851,6.70550183491404,3.30838191358855e-07,4.88647646394776e-05,3.794781828966e-05,"ENSG00000000005/ENSG00000066056/ENSG00000128052/ENSG00000136160/ENSG00000139567/ENSG00000153162/ENSG00000154133/ENSG00000164736/ENSG00000166292/ENSG00000168874/ENSG00000170989/ENSG00000174804/ENSG00000178878/ENSG00000179776/ENSG00000184113/ENSG00000186642/ENSG00000204301/ENSG00000261371",18
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","34/644","431/21468",0.0788863109048724,2.62970702252453,6.01039207009343,3.31137550702115e-07,4.88647646394776e-05,3.794781828966e-05,"ENSG00000000005/ENSG00000017427/ENSG00000037280/ENSG00000064300/ENSG00000066056/ENSG00000069702/ENSG00000072163/ENSG00000073282/ENSG00000081189/ENSG00000105894/ENSG00000105974/ENSG00000106004/ENSG00000115353/ENSG00000117525/ENSG00000119138/ENSG00000119508/ENSG00000120156/ENSG00000123358/ENSG00000128016/ENSG00000128052/ENSG00000128918/ENSG00000129757/ENSG00000132170/ENSG00000136160/ENSG00000138685/ENSG00000139567/ENSG00000143125/ENSG00000143867/ENSG00000153162/ENSG00000168874/ENSG00000171951/ENSG00000173269/ENSG00000174697/ENSG00000179388",34
"GO:0086001","GO:0086001","cardiac muscle cell action potential","14/644","88/21468",0.159090909090909,5.30335968379447,7.11363645688835,3.4487703318555e-07,4.88647646394776e-05,3.794781828966e-05,"ENSG00000007314/ENSG00000018625/ENSG00000089250/ENSG00000105974/ENSG00000120049/ENSG00000130037/ENSG00000136546/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000169432/ENSG00000177098/ENSG00000180509",14
"GO:0086003","GO:0086003","cardiac muscle cell contraction","14/644","88/21468",0.159090909090909,5.30335968379447,7.11363645688835,3.4487703318555e-07,4.88647646394776e-05,3.794781828966e-05,"ENSG00000007314/ENSG00000018625/ENSG00000089250/ENSG00000105974/ENSG00000130037/ENSG00000136546/ENSG00000148180/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000169432/ENSG00000177098/ENSG00000180509",14
"GO:0001659","GO:0001659","temperature homeostasis","22/644","209/21468",0.105263157894737,3.50898986596927,6.40983969845409,3.60946217537307e-07,4.95918227367924e-05,3.85124433066122e-05,"ENSG00000043591/ENSG00000102468/ENSG00000104967/ENSG00000105974/ENSG00000115361/ENSG00000116016/ENSG00000116678/ENSG00000118432/ENSG00000120738/ENSG00000123689/ENSG00000135218/ENSG00000136160/ENSG00000142611/ENSG00000165092/ENSG00000169252/ENSG00000170323/ENSG00000174697/ENSG00000176194/ENSG00000180914/ENSG00000181092/ENSG00000188778/ENSG00000221818",22
"GO:0086002","GO:0086002","cardiac muscle cell action potential involved in contraction","12/644","64/21468",0.1875,6.25038819875776,7.39742320328544,3.78214528012158e-07,5.04360197060919e-05,3.91680370340764e-05,"ENSG00000007314/ENSG00000089250/ENSG00000105974/ENSG00000130037/ENSG00000136546/ENSG00000149575/ENSG00000153253/ENSG00000166257/ENSG00000168356/ENSG00000169432/ENSG00000177098/ENSG00000180509",12
"GO:0097009","GO:0097009","energy homeostasis","14/644","89/21468",0.157303370786517,5.2437713727406,7.0550455620549,3.98119582286764e-07,5.15735481739482e-05,4.0051428654112e-05,"ENSG00000009950/ENSG00000043591/ENSG00000076555/ENSG00000080293/ENSG00000094963/ENSG00000116678/ENSG00000119508/ENSG00000123612/ENSG00000135218/ENSG00000162877/ENSG00000169252/ENSG00000174697/ENSG00000187871/ENSG00000188778",14
"GO:0008016","GO:0008016","regulation of heart contraction","23/644","228/21468",0.100877192982456,3.36278195488722,6.30754484558138,4.217520387077e-07,5.31173262083531e-05,4.12503090490426e-05,"ENSG00000018625/ENSG00000043591/ENSG00000089250/ENSG00000100678/ENSG00000105974/ENSG00000116016/ENSG00000118729/ENSG00000120049/ENSG00000120907/ENSG00000124205/ENSG00000129244/ENSG00000130037/ENSG00000134548/ENSG00000136160/ENSG00000149575/ENSG00000166257/ENSG00000173641/ENSG00000175084/ENSG00000177098/ENSG00000180509/ENSG00000182132/ENSG00000186439/ENSG00000266964",23
"GO:0048545","GO:0048545","response to steroid hormone","31/644","379/21468",0.0817941952506596,2.72664252118193,5.96404041434138,5.03929162276755e-07,6.17517519395354e-05,4.7955705485512e-05,"ENSG00000003436/ENSG00000004948/ENSG00000018625/ENSG00000067113/ENSG00000073282/ENSG00000101883/ENSG00000105974/ENSG00000113580/ENSG00000115353/ENSG00000118515/ENSG00000119138/ENSG00000119508/ENSG00000124253/ENSG00000125740/ENSG00000126545/ENSG00000128016/ENSG00000129596/ENSG00000136244/ENSG00000137463/ENSG00000151623/ENSG00000153162/ENSG00000168309/ENSG00000170345/ENSG00000175899/ENSG00000178175/ENSG00000179094/ENSG00000180914/ENSG00000181092/ENSG00000196139/ENSG00000240583/ENSG00000265972",31
"GO:0051591","GO:0051591","response to cAMP","14/644","94/21468",0.148936170212766,4.96484736355227,6.77476181932716,7.91962259554775e-07,9.44936022321407e-05,7.33826525820144e-05,"ENSG00000120156/ENSG00000124253/ENSG00000125740/ENSG00000129596/ENSG00000145708/ENSG00000167588/ENSG00000170345/ENSG00000178726/ENSG00000179094/ENSG00000180509/ENSG00000181092/ENSG00000181195/ENSG00000186642/ENSG00000240583",14
"GO:0034764","GO:0034764","positive regulation of transmembrane transport","22/644","220/21468",0.1,3.33354037267081,6.11806610073943,8.69962820525662e-07,9.86949069735069e-05,7.66453378743948e-05,"ENSG00000017427/ENSG00000078549/ENSG00000088992/ENSG00000089250/ENSG00000092529/ENSG00000095637/ENSG00000105974/ENSG00000119508/ENSG00000120049/ENSG00000123560/ENSG00000124205/ENSG00000129244/ENSG00000137672/ENSG00000138039/ENSG00000145335/ENSG00000145675/ENSG00000163884/ENSG00000180509/ENSG00000181092/ENSG00000186439/ENSG00000189056/ENSG00000266964",22
"GO:1990845","GO:1990845","adaptive thermogenesis","20/644","186/21468",0.10752688172043,3.58445201362452,6.22537130955582,8.70709368976682e-07,9.86949069735069e-05,7.66453378743948e-05,"ENSG00000043591/ENSG00000080293/ENSG00000104967/ENSG00000105974/ENSG00000115361/ENSG00000116016/ENSG00000116678/ENSG00000123689/ENSG00000135218/ENSG00000142611/ENSG00000162877/ENSG00000165092/ENSG00000169252/ENSG00000170323/ENSG00000174697/ENSG00000176194/ENSG00000180914/ENSG00000181092/ENSG00000188778/ENSG00000221818",20
"GO:0007611","GO:0007611","learning or memory","28/644","331/21468",0.0845921450151057,2.81991330618679,5.86799260396728,9.22139074886973e-07,0.00010197508696433,7.91926882027452e-05,"ENSG00000018625/ENSG00000078725/ENSG00000081189/ENSG00000092051/ENSG00000100433/ENSG00000100678/ENSG00000101349/ENSG00000102468/ENSG00000105894/ENSG00000115353/ENSG00000116147/ENSG00000118432/ENSG00000118515/ENSG00000122877/ENSG00000123360/ENSG00000135298/ENSG00000145708/ENSG00000148053/ENSG00000158301/ENSG00000168329/ENSG00000170345/ENSG00000180914/ENSG00000181656/ENSG00000181856/ENSG00000184113/ENSG00000185345/ENSG00000189056/ENSG00000251322",28
"GO:0050900","GO:0050900","leukocyte migration","35/644","472/21468",0.0741525423728814,2.47190493736183,5.68629011476623,9.50089502759257e-07,0.000102564423940726,7.96503605696671e-05,"ENSG00000015413/ENSG00000081041/ENSG00000100448/ENSG00000105894/ENSG00000115353/ENSG00000120129/ENSG00000122592/ENSG00000124205/ENSG00000133800/ENSG00000135424/ENSG00000136160/ENSG00000136244/ENSG00000136999/ENSG00000137033/ENSG00000137077/ENSG00000138135/ENSG00000144668/ENSG00000145675/ENSG00000154721/ENSG00000165197/ENSG00000168329/ENSG00000169313/ENSG00000170962/ENSG00000170989/ENSG00000171951/ENSG00000173432/ENSG00000174059/ENSG00000174175/ENSG00000174697/ENSG00000180383/ENSG00000189058/ENSG00000261371/ENSG00000271447/ENSG00000275152/ENSG00000276409",35
"GO:0015850","GO:0015850","organic hydroxy compound transport","28/644","332/21468",0.0843373493975904,2.81141959140911,5.84956049251448,9.79156273959288e-07,0.000103244059212358,8.01781575616602e-05,"ENSG00000076555/ENSG00000084674/ENSG00000089250/ENSG00000102468/ENSG00000105974/ENSG00000118432/ENSG00000119147/ENSG00000132170/ENSG00000135218/ENSG00000135917/ENSG00000138207/ENSG00000139155/ENSG00000141338/ENSG00000145283/ENSG00000145335/ENSG00000146469/ENSG00000146477/ENSG00000153162/ENSG00000158445/ENSG00000165269/ENSG00000166573/ENSG00000167910/ENSG00000180914/ENSG00000181092/ENSG00000185345/ENSG00000187134/ENSG00000240583/ENSG00000259916",28
