"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","GO:0098687","chromosomal region","97/579","174/8256",0.557471264367816,7.9490203084986,25.4413898175392,1.71217883454899e-67,6.88295891488692e-65,6.88295891488692e-65,"ENSG00000138092/ENSG00000138346/ENSG00000149636/ENSG00000111247/ENSG00000136518/ENSG00000004487/ENSG00000171320/ENSG00000154839/ENSG00000135372/ENSG00000117724/ENSG00000062822/ENSG00000010292/ENSG00000178999/ENSG00000134690/ENSG00000130816/ENSG00000113810/ENSG00000076382/ENSG00000136982/ENSG00000179051/ENSG00000159055/ENSG00000183765/ENSG00000072864/ENSG00000169679/ENSG00000128944/ENSG00000122952/ENSG00000170312/ENSG00000122565/ENSG00000077935/ENSG00000139618/ENSG00000040275/ENSG00000115163/ENSG00000095002/ENSG00000197299/ENSG00000203760/ENSG00000073111/ENSG00000108468/ENSG00000085840/ENSG00000163535/ENSG00000163029/ENSG00000123219/ENSG00000100162/ENSG00000120334/ENSG00000152253/ENSG00000104738/ENSG00000104147/ENSG00000149554/ENSG00000164362/ENSG00000123374/ENSG00000131747/ENSG00000117399/ENSG00000119969/ENSG00000184445/ENSG00000175216/ENSG00000153044/ENSG00000138778/ENSG00000080986/ENSG00000146670/ENSG00000166851/ENSG00000106462/ENSG00000000460/ENSG00000119772/ENSG00000186871/ENSG00000076003/ENSG00000112742/ENSG00000156970/ENSG00000121621/ENSG00000089685/ENSG00000166508/ENSG00000134057/ENSG00000132646/ENSG00000164109/ENSG00000112130/ENSG00000143228/ENSG00000102384/ENSG00000149503/ENSG00000100297/ENSG00000166451/ENSG00000174442/ENSG00000112118/ENSG00000152455/ENSG00000117650/ENSG00000085415/ENSG00000182628/ENSG00000051180/ENSG00000142945/ENSG00000129810/ENSG00000165480/ENSG00000109805/ENSG00000137812/ENSG00000151725/ENSG00000168496/ENSG00000167513/ENSG00000123485/ENSG00000172167/ENSG00000087586/ENSG00000140451/ENSG00000161888",97
"GO:0000775","GO:0000775","chromosome, centromeric region","72/579","110/8256",0.654545454545455,9.33320772491757,24.1623069879143,4.91658121836065e-57,9.8823282489049e-55,9.8823282489049e-55,"ENSG00000138092/ENSG00000149636/ENSG00000136518/ENSG00000171320/ENSG00000154839/ENSG00000117724/ENSG00000010292/ENSG00000178999/ENSG00000134690/ENSG00000130816/ENSG00000113810/ENSG00000076382/ENSG00000136982/ENSG00000179051/ENSG00000159055/ENSG00000072864/ENSG00000169679/ENSG00000128944/ENSG00000122952/ENSG00000122565/ENSG00000077935/ENSG00000040275/ENSG00000115163/ENSG00000203760/ENSG00000108468/ENSG00000163535/ENSG00000163029/ENSG00000123219/ENSG00000100162/ENSG00000120334/ENSG00000152253/ENSG00000104147/ENSG00000131747/ENSG00000117399/ENSG00000119969/ENSG00000184445/ENSG00000175216/ENSG00000153044/ENSG00000138778/ENSG00000080986/ENSG00000146670/ENSG00000166851/ENSG00000106462/ENSG00000000460/ENSG00000119772/ENSG00000186871/ENSG00000112742/ENSG00000156970/ENSG00000121621/ENSG00000089685/ENSG00000134057/ENSG00000164109/ENSG00000143228/ENSG00000102384/ENSG00000149503/ENSG00000166451/ENSG00000174442/ENSG00000152455/ENSG00000117650/ENSG00000085415/ENSG00000182628/ENSG00000142945/ENSG00000129810/ENSG00000165480/ENSG00000109805/ENSG00000137812/ENSG00000151725/ENSG00000167513/ENSG00000123485/ENSG00000172167/ENSG00000087586/ENSG00000161888",72
"GO:0000793","GO:0000793","condensed chromosome","74/579","129/8256",0.573643410852713,8.17962003454231,22.5700871701147,1.55005927789037e-52,2.0770794323731e-50,2.0770794323731e-50,"ENSG00000138092/ENSG00000149636/ENSG00000136518/ENSG00000154839/ENSG00000180198/ENSG00000117724/ENSG00000010292/ENSG00000178999/ENSG00000113810/ENSG00000076382/ENSG00000072864/ENSG00000169679/ENSG00000128944/ENSG00000122952/ENSG00000148773/ENSG00000122565/ENSG00000077935/ENSG00000139618/ENSG00000040275/ENSG00000115163/ENSG00000012048/ENSG00000197299/ENSG00000203760/ENSG00000163535/ENSG00000163029/ENSG00000123219/ENSG00000100162/ENSG00000163781/ENSG00000146918/ENSG00000152253/ENSG00000149554/ENSG00000123374/ENSG00000131747/ENSG00000117399/ENSG00000184445/ENSG00000175216/ENSG00000153044/ENSG00000138778/ENSG00000080986/ENSG00000166851/ENSG00000000460/ENSG00000186871/ENSG00000112742/ENSG00000156970/ENSG00000121621/ENSG00000089685/ENSG00000134057/ENSG00000164109/ENSG00000131470/ENSG00000144554/ENSG00000121152/ENSG00000143228/ENSG00000102384/ENSG00000149503/ENSG00000166451/ENSG00000184661/ENSG00000174442/ENSG00000117650/ENSG00000085415/ENSG00000182628/ENSG00000051180/ENSG00000142945/ENSG00000129810/ENSG00000165480/ENSG00000109805/ENSG00000137812/ENSG00000151725/ENSG00000136824/ENSG00000167513/ENSG00000123485/ENSG00000172167/ENSG00000087586/ENSG00000164104/ENSG00000161888",74
"GO:0005819","GO:0005819","spindle","79/579","184/8256",0.429347826086957,6.12209957197567,19.2960493869935,1.1791719436566e-43,1.18506780337488e-41,1.18506780337488e-41,"ENSG00000139734/ENSG00000149636/ENSG00000101224/ENSG00000161800/ENSG00000126787/ENSG00000198901/ENSG00000154839/ENSG00000117724/ENSG00000154429/ENSG00000178999/ENSG00000134690/ENSG00000127423/ENSG00000076382/ENSG00000179051/ENSG00000072864/ENSG00000237649/ENSG00000128944/ENSG00000196230/ENSG00000170312/ENSG00000122565/ENSG00000040275/ENSG00000094804/ENSG00000088325/ENSG00000101447/ENSG00000108468/ENSG00000066279/ENSG00000163808/ENSG00000163029/ENSG00000138160/ENSG00000163781/ENSG00000013573/ENSG00000177602/ENSG00000118193/ENSG00000134222/ENSG00000121957/ENSG00000117399/ENSG00000184445/ENSG00000175216/ENSG00000138778/ENSG00000097046/ENSG00000166851/ENSG00000000460/ENSG00000112742/ENSG00000156970/ENSG00000121621/ENSG00000114346/ENSG00000089685/ENSG00000013810/ENSG00000072571/ENSG00000163872/ENSG00000112984/ENSG00000134057/ENSG00000005022/ENSG00000276043/ENSG00000099365/ENSG00000164109/ENSG00000112029/ENSG00000213024/ENSG00000136108/ENSG00000135476/ENSG00000171241/ENSG00000149503/ENSG00000174442/ENSG00000137807/ENSG00000138182/ENSG00000136122/ENSG00000117650/ENSG00000131351/ENSG00000182628/ENSG00000142945/ENSG00000075702/ENSG00000169607/ENSG00000090889/ENSG00000129810/ENSG00000165480/ENSG00000164087/ENSG00000130695/ENSG00000087586/ENSG00000186185",79
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","54/579","81/8256",0.666666666666667,9.50604490500864,21.126538733292,1.7672952717221e-43,1.42090539846457e-41,1.42090539846457e-41,"ENSG00000138092/ENSG00000149636/ENSG00000136518/ENSG00000154839/ENSG00000117724/ENSG00000010292/ENSG00000178999/ENSG00000076382/ENSG00000072864/ENSG00000169679/ENSG00000128944/ENSG00000122952/ENSG00000122565/ENSG00000040275/ENSG00000115163/ENSG00000203760/ENSG00000163535/ENSG00000123219/ENSG00000100162/ENSG00000152253/ENSG00000117399/ENSG00000184445/ENSG00000175216/ENSG00000153044/ENSG00000138778/ENSG00000080986/ENSG00000166851/ENSG00000000460/ENSG00000186871/ENSG00000112742/ENSG00000156970/ENSG00000121621/ENSG00000089685/ENSG00000134057/ENSG00000164109/ENSG00000143228/ENSG00000102384/ENSG00000149503/ENSG00000166451/ENSG00000174442/ENSG00000117650/ENSG00000085415/ENSG00000182628/ENSG00000142945/ENSG00000129810/ENSG00000165480/ENSG00000109805/ENSG00000137812/ENSG00000151725/ENSG00000167513/ENSG00000123485/ENSG00000172167/ENSG00000087586/ENSG00000161888",54
"GO:0000776","GO:0000776","kinetochore","51/579","74/8256",0.689189189189189,9.82719507071839,20.9464725402279,3.07356603161463e-42,2.0592892411818e-40,2.0592892411818e-40,"ENSG00000138092/ENSG00000149636/ENSG00000136518/ENSG00000154839/ENSG00000117724/ENSG00000178999/ENSG00000076382/ENSG00000072864/ENSG00000169679/ENSG00000128944/ENSG00000122952/ENSG00000040275/ENSG00000115163/ENSG00000203760/ENSG00000163535/ENSG00000123219/ENSG00000100162/ENSG00000152253/ENSG00000117399/ENSG00000184445/ENSG00000175216/ENSG00000153044/ENSG00000138778/ENSG00000080986/ENSG00000166851/ENSG00000000460/ENSG00000186871/ENSG00000112742/ENSG00000156970/ENSG00000121621/ENSG00000089685/ENSG00000134057/ENSG00000164109/ENSG00000143228/ENSG00000102384/ENSG00000149503/ENSG00000166451/ENSG00000174442/ENSG00000117650/ENSG00000085415/ENSG00000182628/ENSG00000142945/ENSG00000129810/ENSG00000165480/ENSG00000137812/ENSG00000151725/ENSG00000167513/ENSG00000123485/ENSG00000172167/ENSG00000087586/ENSG00000161888",51
"GO:0140513","GO:0140513","nuclear protein-containing complex","96/579","399/8256",0.240601503759398,3.43075304842417,13.6678738171821,1.04048876425815e-28,5.97537833188252e-27,5.97537833188252e-27,"ENSG00000131876/ENSG00000064102/ENSG00000112039/ENSG00000113569/ENSG00000138376/ENSG00000124787/ENSG00000136518/ENSG00000004487/ENSG00000013364/ENSG00000112242/ENSG00000135372/ENSG00000132964/ENSG00000133119/ENSG00000062822/ENSG00000006634/ENSG00000130826/ENSG00000111602/ENSG00000136982/ENSG00000155561/ENSG00000159055/ENSG00000100479/ENSG00000182199/ENSG00000007968/ENSG00000122565/ENSG00000165891/ENSG00000142230/ENSG00000115128/ENSG00000168883/ENSG00000175063/ENSG00000095002/ENSG00000012048/ENSG00000101003/ENSG00000129173/ENSG00000073111/ENSG00000085840/ENSG00000108106/ENSG00000163781/ENSG00000196584/ENSG00000125351/ENSG00000104738/ENSG00000113356/ENSG00000187741/ENSG00000164362/ENSG00000117399/ENSG00000143977/ENSG00000181938/ENSG00000149136/ENSG00000137309/ENSG00000106462/ENSG00000184575/ENSG00000198176/ENSG00000076003/ENSG00000173894/ENSG00000049541/ENSG00000115761/ENSG00000156970/ENSG00000181544/ENSG00000055044/ENSG00000134453/ENSG00000166508/ENSG00000137168/ENSG00000102098/ENSG00000189091/ENSG00000132646/ENSG00000164109/ENSG00000058804/ENSG00000213024/ENSG00000116062/ENSG00000163918/ENSG00000197451/ENSG00000146143/ENSG00000100297/ENSG00000198056/ENSG00000104356/ENSG00000112118/ENSG00000001167/ENSG00000085415/ENSG00000147536/ENSG00000096384/ENSG00000101412/ENSG00000158169/ENSG00000146263/ENSG00000101057/ENSG00000132341/ENSG00000075131/ENSG00000176102/ENSG00000093009/ENSG00000163950/ENSG00000119203/ENSG00000131153/ENSG00000177084/ENSG00000106615/ENSG00000102900/ENSG00000100307/ENSG00000091651/ENSG00000143401",96
"GO:0000922","GO:0000922","spindle pole","41/579","75/8256",0.546666666666667,7.79495682210708,16.2336503305885,3.30159543502458e-28,1.65905170609985e-26,1.65905170609985e-26,"ENSG00000139734/ENSG00000149636/ENSG00000101224/ENSG00000126787/ENSG00000198901/ENSG00000117724/ENSG00000178999/ENSG00000127423/ENSG00000076382/ENSG00000072864/ENSG00000128944/ENSG00000040275/ENSG00000094804/ENSG00000088325/ENSG00000101447/ENSG00000066279/ENSG00000163808/ENSG00000163029/ENSG00000138160/ENSG00000163781/ENSG00000013573/ENSG00000134222/ENSG00000121957/ENSG00000117399/ENSG00000184445/ENSG00000175216/ENSG00000166851/ENSG00000013810/ENSG00000134057/ENSG00000164109/ENSG00000213024/ENSG00000136108/ENSG00000138182/ENSG00000117650/ENSG00000131351/ENSG00000075702/ENSG00000169607/ENSG00000129810/ENSG00000164087/ENSG00000130695/ENSG00000087586",41
"GO:0000228","GO:0000228","nuclear chromosome","47/579","101/8256",0.465346534653465,6.635407582209,15.6486215117536,4.34862405452451e-28,1.94238541102095e-26,1.94238541102095e-26,"ENSG00000136518/ENSG00000180198/ENSG00000062822/ENSG00000198554/ENSG00000010292/ENSG00000113810/ENSG00000111602/ENSG00000100479/ENSG00000077935/ENSG00000139618/ENSG00000012048/ENSG00000197299/ENSG00000101003/ENSG00000073111/ENSG00000085840/ENSG00000163781/ENSG00000146918/ENSG00000104738/ENSG00000149554/ENSG00000131747/ENSG00000181938/ENSG00000166851/ENSG00000076003/ENSG00000089685/ENSG00000166508/ENSG00000154920/ENSG00000132646/ENSG00000131470/ENSG00000121152/ENSG00000149503/ENSG00000146143/ENSG00000100297/ENSG00000198056/ENSG00000112118/ENSG00000117650/ENSG00000147536/ENSG00000051180/ENSG00000101412/ENSG00000109805/ENSG00000146263/ENSG00000075131/ENSG00000136824/ENSG00000131153/ENSG00000177084/ENSG00000065328/ENSG00000091651/ENSG00000143401",47
"GO:0005813","GO:0005813","centrosome","70/579","236/8256",0.296610169491525,4.229384385703,13.8226276349294,8.25329309971977e-27,3.31782382608735e-25,3.31782382608735e-25,"ENSG00000101224/ENSG00000126787/ENSG00000157456/ENSG00000154839/ENSG00000117724/ENSG00000154429/ENSG00000178999/ENSG00000156876/ENSG00000127423/ENSG00000076382/ENSG00000142731/ENSG00000072864/ENSG00000237649/ENSG00000128944/ENSG00000120539/ENSG00000170312/ENSG00000156787/ENSG00000139618/ENSG00000040275/ENSG00000123473/ENSG00000066279/ENSG00000163808/ENSG00000163781/ENSG00000196584/ENSG00000186638/ENSG00000013573/ENSG00000120647/ENSG00000177602/ENSG00000149554/ENSG00000123374/ENSG00000138180/ENSG00000117399/ENSG00000175216/ENSG00000080986/ENSG00000166851/ENSG00000150753/ENSG00000112877/ENSG00000156970/ENSG00000121621/ENSG00000114346/ENSG00000013810/ENSG00000072571/ENSG00000178295/ENSG00000134057/ENSG00000099365/ENSG00000132646/ENSG00000213024/ENSG00000136108/ENSG00000135476/ENSG00000162063/ENSG00000137807/ENSG00000138182/ENSG00000117650/ENSG00000122483/ENSG00000143476/ENSG00000131351/ENSG00000183346/ENSG00000051180/ENSG00000142945/ENSG00000075702/ENSG00000169607/ENSG00000166803/ENSG00000129810/ENSG00000165480/ENSG00000164087/ENSG00000151725/ENSG00000130695/ENSG00000156261/ENSG00000087586/ENSG00000102900",70
"GO:0005815","GO:0005815","microtubule organizing center","80/579","309/8256",0.258899676375405,3.6916679242752,13.2434508092868,3.54854723755532e-26,1.29683271772476e-24,1.29683271772476e-24,"ENSG00000145386/ENSG00000139734/ENSG00000101224/ENSG00000126787/ENSG00000157456/ENSG00000154839/ENSG00000117724/ENSG00000154429/ENSG00000178999/ENSG00000156876/ENSG00000127423/ENSG00000076382/ENSG00000142731/ENSG00000072864/ENSG00000237649/ENSG00000128944/ENSG00000120539/ENSG00000170312/ENSG00000156787/ENSG00000139618/ENSG00000040275/ENSG00000012048/ENSG00000123473/ENSG00000066279/ENSG00000163808/ENSG00000163781/ENSG00000196584/ENSG00000186638/ENSG00000013573/ENSG00000120647/ENSG00000177602/ENSG00000149554/ENSG00000123374/ENSG00000131747/ENSG00000138180/ENSG00000117399/ENSG00000175216/ENSG00000080986/ENSG00000166851/ENSG00000150753/ENSG00000112877/ENSG00000156970/ENSG00000121621/ENSG00000114346/ENSG00000089685/ENSG00000013810/ENSG00000072571/ENSG00000105173/ENSG00000178295/ENSG00000134057/ENSG00000099365/ENSG00000132646/ENSG00000213024/ENSG00000136108/ENSG00000135476/ENSG00000162063/ENSG00000137807/ENSG00000175305/ENSG00000138182/ENSG00000117650/ENSG00000122483/ENSG00000143476/ENSG00000131351/ENSG00000183346/ENSG00000051180/ENSG00000117245/ENSG00000142945/ENSG00000075702/ENSG00000169607/ENSG00000166803/ENSG00000129810/ENSG00000165480/ENSG00000164087/ENSG00000132341/ENSG00000151725/ENSG00000093009/ENSG00000130695/ENSG00000156261/ENSG00000087586/ENSG00000102900",80
"GO:0072686","GO:0072686","mitotic spindle","37/579","76/8256",0.486842105263158,6.94191437142078,14.2908672028961,3.34871690666724e-23,1.12182016373353e-21,1.12182016373353e-21,"ENSG00000161800/ENSG00000126787/ENSG00000198901/ENSG00000154839/ENSG00000154429/ENSG00000178999/ENSG00000076382/ENSG00000179051/ENSG00000237649/ENSG00000128944/ENSG00000196230/ENSG00000170312/ENSG00000088325/ENSG00000101447/ENSG00000066279/ENSG00000163029/ENSG00000138160/ENSG00000121957/ENSG00000138778/ENSG00000097046/ENSG00000166851/ENSG00000121621/ENSG00000114346/ENSG00000163872/ENSG00000112984/ENSG00000164109/ENSG00000213024/ENSG00000136108/ENSG00000135476/ENSG00000171241/ENSG00000137807/ENSG00000138182/ENSG00000131351/ENSG00000169607/ENSG00000165480/ENSG00000087586/ENSG00000186185",37
"GO:0000940","GO:0000940","outer kinetochore","16/579","17/8256",0.941176470588235,13.420298689424,14.0773626825047,4.48350681682888e-18,1.38643826181939e-16,1.38643826181939e-16,"ENSG00000149636/ENSG00000154839/ENSG00000117724/ENSG00000169679/ENSG00000122952/ENSG00000040275/ENSG00000152253/ENSG00000080986/ENSG00000166851/ENSG00000156970/ENSG00000134057/ENSG00000143228/ENSG00000182628/ENSG00000165480/ENSG00000137812/ENSG00000161888",16
"GO:0005730","GO:0005730","nucleolus","68/579","322/8256",0.211180124223602,3.0112316158723,10.109879412555,3.89968012258563e-17,1.11564986791958e-15,1.11564986791958e-15,"ENSG00000066044/ENSG00000149636/ENSG00000129195/ENSG00000105821/ENSG00000124787/ENSG00000135372/ENSG00000132964/ENSG00000111206/ENSG00000010292/ENSG00000113460/ENSG00000134690/ENSG00000111726/ENSG00000124795/ENSG00000130826/ENSG00000142731/ENSG00000179051/ENSG00000148773/ENSG00000197299/ENSG00000111845/ENSG00000203760/ENSG00000145604/ENSG00000129173/ENSG00000145220/ENSG00000156427/ENSG00000125351/ENSG00000013573/ENSG00000024526/ENSG00000107937/ENSG00000070814/ENSG00000164362/ENSG00000178409/ENSG00000131747/ENSG00000186193/ENSG00000149136/ENSG00000187801/ENSG00000000460/ENSG00000136938/ENSG00000115761/ENSG00000055044/ENSG00000154920/ENSG00000137168/ENSG00000189091/ENSG00000109685/ENSG00000144554/ENSG00000096433/ENSG00000278023/ENSG00000135446/ENSG00000104356/ENSG00000080608/ENSG00000138182/ENSG00000166986/ENSG00000117650/ENSG00000160208/ENSG00000051180/ENSG00000029993/ENSG00000183763/ENSG00000132341/ENSG00000168496/ENSG00000163950/ENSG00000136824/ENSG00000123485/ENSG00000106144/ENSG00000130695/ENSG00000065328/ENSG00000164104/ENSG00000091651/ENSG00000161888/ENSG00000186185",68
"GO:0005657","GO:0005657","replication fork","22/579","36/8256",0.611111111111111,8.71387449625792,12.7376690436847,4.16287264149095e-17,1.11564986791958e-15,1.11564986791958e-15,"ENSG00000133119/ENSG00000062822/ENSG00000198554/ENSG00000136492/ENSG00000130816/ENSG00000111602/ENSG00000197299/ENSG00000196584/ENSG00000149554/ENSG00000176890/ENSG00000159147/ENSG00000049541/ENSG00000154920/ENSG00000276043/ENSG00000132646/ENSG00000163918/ENSG00000146143/ENSG00000198056/ENSG00000112118/ENSG00000146263/ENSG00000075131/ENSG00000065328",22
"GO:0030496","GO:0030496","midbody","31/579","75/8256",0.413333333333333,5.89374784110535,11.6915226010136,4.69142307938667e-17,1.1787200486959e-15,1.1787200486959e-15,"ENSG00000161800/ENSG00000198901/ENSG00000135372/ENSG00000117724/ENSG00000178999/ENSG00000134690/ENSG00000076382/ENSG00000179051/ENSG00000170312/ENSG00000066279/ENSG00000013573/ENSG00000118193/ENSG00000134222/ENSG00000138180/ENSG00000138778/ENSG00000166851/ENSG00000000460/ENSG00000114346/ENSG00000089685/ENSG00000112984/ENSG00000112130/ENSG00000213024/ENSG00000011426/ENSG00000171241/ENSG00000149503/ENSG00000137807/ENSG00000138182/ENSG00000117650/ENSG00000090889/ENSG00000132341/ENSG00000087586",31
"GO:0051233","GO:0051233","spindle midzone","16/579","20/8256",0.8,11.4072538860104,12.7966127795379,1.04685510985441e-15,2.47550443624397e-14,2.47550443624397e-14,"ENSG00000161800/ENSG00000198901/ENSG00000178999/ENSG00000134690/ENSG00000179051/ENSG00000094804/ENSG00000118193/ENSG00000138778/ENSG00000166851/ENSG00000000460/ENSG00000121621/ENSG00000089685/ENSG00000149503/ENSG00000138182/ENSG00000087586/ENSG00000186185",16
"GO:0000781","GO:0000781","chromosome, telomeric region","29/579","72/8256",0.402777777777778,5.74323546344272,11.1009506668875,1.13195814716302e-15,2.5280398619974e-14,2.5280398619974e-14,"ENSG00000138346/ENSG00000111247/ENSG00000004487/ENSG00000135372/ENSG00000062822/ENSG00000183765/ENSG00000170312/ENSG00000122565/ENSG00000139618/ENSG00000095002/ENSG00000197299/ENSG00000073111/ENSG00000108468/ENSG00000085840/ENSG00000163029/ENSG00000104738/ENSG00000149554/ENSG00000164362/ENSG00000123374/ENSG00000106462/ENSG00000076003/ENSG00000166508/ENSG00000132646/ENSG00000112130/ENSG00000100297/ENSG00000112118/ENSG00000051180/ENSG00000168496/ENSG00000140451",29
"GO:0005876","GO:0005876","spindle microtubule","19/579","34/8256",0.558823529411765,7.96830234684547,11.1809771162813,6.10156095744692e-14,1.29096184468088e-12,1.29096184468087e-12,"ENSG00000198901/ENSG00000154839/ENSG00000154429/ENSG00000178999/ENSG00000170312/ENSG00000138160/ENSG00000134222/ENSG00000184445/ENSG00000138778/ENSG00000166851/ENSG00000121621/ENSG00000089685/ENSG00000174442/ENSG00000131351/ENSG00000182628/ENSG00000090889/ENSG00000165480/ENSG00000087586/ENSG00000186185",19
"GO:0005874","GO:0005874","microtubule","51/579","233/8256",0.218884120171674,3.12108341301786,9.01922793369917,1.00328133095759e-13,2.01659547522476e-12,2.01659547522476e-12,"ENSG00000161800/ENSG00000198901/ENSG00000139354/ENSG00000154839/ENSG00000167553/ENSG00000154429/ENSG00000178999/ENSG00000076382/ENSG00000179051/ENSG00000072864/ENSG00000237649/ENSG00000128944/ENSG00000196230/ENSG00000139116/ENSG00000170312/ENSG00000088325/ENSG00000066279/ENSG00000163808/ENSG00000138160/ENSG00000186638/ENSG00000118193/ENSG00000134222/ENSG00000184445/ENSG00000175216/ENSG00000138778/ENSG00000166851/ENSG00000146731/ENSG00000117632/ENSG00000226650/ENSG00000150753/ENSG00000121621/ENSG00000089685/ENSG00000112984/ENSG00000128408/ENSG00000136108/ENSG00000149503/ENSG00000174442/ENSG00000137807/ENSG00000138182/ENSG00000117650/ENSG00000131351/ENSG00000182628/ENSG00000117245/ENSG00000142945/ENSG00000123416/ENSG00000090889/ENSG00000165480/ENSG00000075218/ENSG00000156261/ENSG00000087586/ENSG00000186185",51
"GO:0031261","GO:0031261","DNA replication preinitiation complex","11/579","12/8256",0.916666666666667,13.0708117443869,11.4910617535713,2.07604996904531e-12,3.97415279788673e-11,3.97415279788673e-11,"ENSG00000101003/ENSG00000073111/ENSG00000104738/ENSG00000181938/ENSG00000076003/ENSG00000166508/ENSG00000100297/ENSG00000112118/ENSG00000147536/ENSG00000093009/ENSG00000131153",11
