"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","GO:0098687","chromosomal region","106/772","174/8256",0.609195402298851,6.51491870644988,23.6131875022433,5.90365114716379e-66,2.47953348180879e-63,2.47953348180879e-63,"ENSG00000143799/ENSG00000138092/ENSG00000138346/ENSG00000149636/ENSG00000153044/ENSG00000136518/ENSG00000154839/ENSG00000135372/ENSG00000253729/ENSG00000117724/ENSG00000062822/ENSG00000010292/ENSG00000178999/ENSG00000130816/ENSG00000113810/ENSG00000076382/ENSG00000170312/ENSG00000136982/ENSG00000179051/ENSG00000164695/ENSG00000164754/ENSG00000159055/ENSG00000183765/ENSG00000119969/ENSG00000122952/ENSG00000122565/ENSG00000139618/ENSG00000040275/ENSG00000184445/ENSG00000175216/ENSG00000149554/ENSG00000115163/ENSG00000087586/ENSG00000138778/ENSG00000197299/ENSG00000077935/ENSG00000000460/ENSG00000073111/ENSG00000085840/ENSG00000100162/ENSG00000108468/ENSG00000120334/ENSG00000117399/ENSG00000104738/ENSG00000004487/ENSG00000196591/ENSG00000129810/ENSG00000203760/ENSG00000128944/ENSG00000164362/ENSG00000095002/ENSG00000080986/ENSG00000146670/ENSG00000166851/ENSG00000112742/ENSG00000089685/ENSG00000134057/ENSG00000109805/ENSG00000124535/ENSG00000156970/ENSG00000121621/ENSG00000131747/ENSG00000166508/ENSG00000152455/ENSG00000164109/ENSG00000143228/ENSG00000163535/ENSG00000163029/ENSG00000123219/ENSG00000184900/ENSG00000152253/ENSG00000182628/ENSG00000140451/ENSG00000100297/ENSG00000102384/ENSG00000149503/ENSG00000168496/ENSG00000112118/ENSG00000171320/ENSG00000172167/ENSG00000132646/ENSG00000104147/ENSG00000111247/ENSG00000079616/ENSG00000166451/ENSG00000174442/ENSG00000127616/ENSG00000165480/ENSG00000123374/ENSG00000123485/ENSG00000051180/ENSG00000134690/ENSG00000169679/ENSG00000072864/ENSG00000137812/ENSG00000151725/ENSG00000167513/ENSG00000076003/ENSG00000186871/ENSG00000119772/ENSG00000106462/ENSG00000112130/ENSG00000117650/ENSG00000085415/ENSG00000161888/ENSG00000142945",106
"GO:0000775","GO:0000775","chromosome, centromeric region","77/772","110/8256",0.7,7.4860103626943,21.9938914594712,1.11904268291448e-54,2.34998963412041e-52,2.34998963412041e-52,"ENSG00000138092/ENSG00000149636/ENSG00000153044/ENSG00000136518/ENSG00000154839/ENSG00000117724/ENSG00000010292/ENSG00000178999/ENSG00000130816/ENSG00000113810/ENSG00000076382/ENSG00000136982/ENSG00000179051/ENSG00000164695/ENSG00000164754/ENSG00000159055/ENSG00000119969/ENSG00000122952/ENSG00000122565/ENSG00000040275/ENSG00000184445/ENSG00000175216/ENSG00000115163/ENSG00000087586/ENSG00000138778/ENSG00000077935/ENSG00000000460/ENSG00000100162/ENSG00000108468/ENSG00000120334/ENSG00000117399/ENSG00000129810/ENSG00000203760/ENSG00000128944/ENSG00000080986/ENSG00000146670/ENSG00000166851/ENSG00000112742/ENSG00000089685/ENSG00000134057/ENSG00000109805/ENSG00000156970/ENSG00000121621/ENSG00000131747/ENSG00000152455/ENSG00000164109/ENSG00000143228/ENSG00000163535/ENSG00000163029/ENSG00000123219/ENSG00000184900/ENSG00000152253/ENSG00000182628/ENSG00000102384/ENSG00000149503/ENSG00000171320/ENSG00000172167/ENSG00000104147/ENSG00000079616/ENSG00000166451/ENSG00000174442/ENSG00000127616/ENSG00000165480/ENSG00000123485/ENSG00000134690/ENSG00000169679/ENSG00000072864/ENSG00000137812/ENSG00000151725/ENSG00000167513/ENSG00000186871/ENSG00000119772/ENSG00000106462/ENSG00000117650/ENSG00000085415/ENSG00000161888/ENSG00000142945",77
"GO:0000793","GO:0000793","condensed chromosome","79/772","129/8256",0.612403100775194,6.54922279792746,20.4015040860297,2.65073635813487e-49,3.71103090138881e-47,3.71103090138881e-47,"ENSG00000138092/ENSG00000149636/ENSG00000153044/ENSG00000136518/ENSG00000154839/ENSG00000180198/ENSG00000117724/ENSG00000010292/ENSG00000178999/ENSG00000012048/ENSG00000113810/ENSG00000076382/ENSG00000164695/ENSG00000164754/ENSG00000136824/ENSG00000122952/ENSG00000148773/ENSG00000122565/ENSG00000139618/ENSG00000040275/ENSG00000184445/ENSG00000175216/ENSG00000149554/ENSG00000115163/ENSG00000087586/ENSG00000138778/ENSG00000197299/ENSG00000077935/ENSG00000000460/ENSG00000100162/ENSG00000163781/ENSG00000121152/ENSG00000146918/ENSG00000117399/ENSG00000129810/ENSG00000203760/ENSG00000128944/ENSG00000080986/ENSG00000166851/ENSG00000112742/ENSG00000089685/ENSG00000134057/ENSG00000109805/ENSG00000144554/ENSG00000156970/ENSG00000121621/ENSG00000131747/ENSG00000164109/ENSG00000131470/ENSG00000143228/ENSG00000163535/ENSG00000163029/ENSG00000123219/ENSG00000184900/ENSG00000152253/ENSG00000182628/ENSG00000102384/ENSG00000149503/ENSG00000172167/ENSG00000079616/ENSG00000166451/ENSG00000184661/ENSG00000174442/ENSG00000127616/ENSG00000165480/ENSG00000123374/ENSG00000123485/ENSG00000051180/ENSG00000164104/ENSG00000169679/ENSG00000072864/ENSG00000137812/ENSG00000151725/ENSG00000167513/ENSG00000186871/ENSG00000117650/ENSG00000085415/ENSG00000161888/ENSG00000142945",79
"GO:0140513","GO:0140513","nuclear protein-containing complex","132/772","399/8256",0.330827067669173,3.53796408118742,16.6895198432746,2.93895104579878e-42,2.82639364061214e-40,2.82639364061214e-40,"ENSG00000131876/ENSG00000112039/ENSG00000198952/ENSG00000113569/ENSG00000143493/ENSG00000102098/ENSG00000138376/ENSG00000124787/ENSG00000136518/ENSG00000112242/ENSG00000135372/ENSG00000253729/ENSG00000132964/ENSG00000133119/ENSG00000062822/ENSG00000167771/ENSG00000012048/ENSG00000111196/ENSG00000198176/ENSG00000130826/ENSG00000136982/ENSG00000115128/ENSG00000164695/ENSG00000064102/ENSG00000111602/ENSG00000155561/ENSG00000159055/ENSG00000100479/ENSG00000143633/ENSG00000143977/ENSG00000093009/ENSG00000007968/ENSG00000064313/ENSG00000122565/ENSG00000106615/ENSG00000181938/ENSG00000101158/ENSG00000101003/ENSG00000184575/ENSG00000129173/ENSG00000101811/ENSG00000167088/ENSG00000073111/ENSG00000102898/ENSG00000085840/ENSG00000160803/ENSG00000163781/ENSG00000196584/ENSG00000117399/ENSG00000104738/ENSG00000004487/ENSG00000196591/ENSG00000204392/ENSG00000187741/ENSG00000065978/ENSG00000164362/ENSG00000133740/ENSG00000164105/ENSG00000095002/ENSG00000149136/ENSG00000198056/ENSG00000164934/ENSG00000055044/ENSG00000143569/ENSG00000101361/ENSG00000164941/ENSG00000101057/ENSG00000137309/ENSG00000139146/ENSG00000117877/ENSG00000175063/ENSG00000141543/ENSG00000058804/ENSG00000115761/ENSG00000156970/ENSG00000146263/ENSG00000113356/ENSG00000181544/ENSG00000134453/ENSG00000131944/ENSG00000166508/ENSG00000168883/ENSG00000137168/ENSG00000189091/ENSG00000167491/ENSG00000164109/ENSG00000116750/ENSG00000213024/ENSG00000064995/ENSG00000102900/ENSG00000120533/ENSG00000147536/ENSG00000100297/ENSG00000146143/ENSG00000163950/ENSG00000176102/ENSG00000112118/ENSG00000164758/ENSG00000132646/ENSG00000182199/ENSG00000001167/ENSG00000070756/ENSG00000049541/ENSG00000104356/ENSG00000173894/ENSG00000127616/ENSG00000096384/ENSG00000162385/ENSG00000101146/ENSG00000143401/ENSG00000197451/ENSG00000142230/ENSG00000165891/ENSG00000125351/ENSG00000075131/ENSG00000132341/ENSG00000076003/ENSG00000106462/ENSG00000132182/ENSG00000147669/ENSG00000131153/ENSG00000101412/ENSG00000158169/ENSG00000119203/ENSG00000085415/ENSG00000091651/ENSG00000006634/ENSG00000163918/ENSG00000177084/ENSG00000116062/ENSG00000099901/ENSG00000175792",132
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","58/772","81/8256",0.716049382716049,7.65764728459029,19.3383631411473,3.36475433406207e-42,2.82639364061214e-40,2.82639364061214e-40,"ENSG00000138092/ENSG00000149636/ENSG00000153044/ENSG00000136518/ENSG00000154839/ENSG00000117724/ENSG00000010292/ENSG00000178999/ENSG00000076382/ENSG00000164695/ENSG00000122952/ENSG00000122565/ENSG00000040275/ENSG00000184445/ENSG00000175216/ENSG00000115163/ENSG00000087586/ENSG00000138778/ENSG00000000460/ENSG00000100162/ENSG00000117399/ENSG00000129810/ENSG00000203760/ENSG00000128944/ENSG00000080986/ENSG00000166851/ENSG00000112742/ENSG00000089685/ENSG00000134057/ENSG00000109805/ENSG00000156970/ENSG00000121621/ENSG00000164109/ENSG00000143228/ENSG00000163535/ENSG00000123219/ENSG00000184900/ENSG00000152253/ENSG00000182628/ENSG00000102384/ENSG00000149503/ENSG00000172167/ENSG00000079616/ENSG00000166451/ENSG00000174442/ENSG00000127616/ENSG00000165480/ENSG00000123485/ENSG00000169679/ENSG00000072864/ENSG00000137812/ENSG00000151725/ENSG00000167513/ENSG00000186871/ENSG00000117650/ENSG00000085415/ENSG00000161888/ENSG00000142945",58
"GO:0000776","GO:0000776","kinetochore","55/772","74/8256",0.743243243243243,7.94846660131634,19.2830352964457,1.61605699668966e-41,1.13123989768276e-39,1.13123989768276e-39,"ENSG00000138092/ENSG00000149636/ENSG00000153044/ENSG00000136518/ENSG00000154839/ENSG00000117724/ENSG00000178999/ENSG00000076382/ENSG00000164695/ENSG00000122952/ENSG00000040275/ENSG00000184445/ENSG00000175216/ENSG00000115163/ENSG00000087586/ENSG00000138778/ENSG00000000460/ENSG00000100162/ENSG00000117399/ENSG00000129810/ENSG00000203760/ENSG00000128944/ENSG00000080986/ENSG00000166851/ENSG00000112742/ENSG00000089685/ENSG00000134057/ENSG00000156970/ENSG00000121621/ENSG00000164109/ENSG00000143228/ENSG00000163535/ENSG00000123219/ENSG00000184900/ENSG00000152253/ENSG00000182628/ENSG00000102384/ENSG00000149503/ENSG00000172167/ENSG00000079616/ENSG00000166451/ENSG00000174442/ENSG00000127616/ENSG00000165480/ENSG00000123485/ENSG00000169679/ENSG00000072864/ENSG00000137812/ENSG00000151725/ENSG00000167513/ENSG00000186871/ENSG00000117650/ENSG00000085415/ENSG00000161888/ENSG00000142945",55
"GO:0005819","GO:0005819","spindle","85/772","184/8256",0.46195652173913,4.94030186979049,17.359936377819,6.33784188990174e-40,3.80270513394105e-38,3.80270513394105e-38,"ENSG00000139734/ENSG00000138160/ENSG00000149636/ENSG00000101224/ENSG00000161800/ENSG00000126787/ENSG00000005022/ENSG00000154839/ENSG00000117724/ENSG00000104833/ENSG00000154429/ENSG00000178999/ENSG00000127423/ENSG00000076382/ENSG00000170312/ENSG00000130695/ENSG00000179051/ENSG00000164695/ENSG00000164754/ENSG00000237649/ENSG00000122565/ENSG00000040275/ENSG00000075702/ENSG00000184445/ENSG00000175216/ENSG00000204899/ENSG00000087586/ENSG00000138778/ENSG00000094804/ENSG00000000460/ENSG00000088325/ENSG00000163781/ENSG00000101447/ENSG00000108468/ENSG00000013573/ENSG00000117399/ENSG00000188807/ENSG00000129810/ENSG00000196230/ENSG00000128944/ENSG00000118193/ENSG00000066279/ENSG00000163808/ENSG00000134222/ENSG00000121957/ENSG00000097046/ENSG00000166851/ENSG00000112742/ENSG00000089685/ENSG00000164087/ENSG00000186185/ENSG00000134057/ENSG00000135476/ENSG00000138182/ENSG00000156970/ENSG00000121621/ENSG00000114346/ENSG00000013810/ENSG00000072571/ENSG00000198901/ENSG00000276043/ENSG00000163872/ENSG00000112984/ENSG00000164109/ENSG00000112029/ENSG00000213024/ENSG00000136108/ENSG00000163029/ENSG00000131351/ENSG00000182628/ENSG00000171241/ENSG00000149503/ENSG00000079616/ENSG00000174442/ENSG00000137807/ENSG00000177602/ENSG00000165480/ENSG00000101146/ENSG00000169607/ENSG00000134690/ENSG00000072864/ENSG00000090889/ENSG00000136122/ENSG00000117650/ENSG00000142945",85
"GO:0000228","GO:0000228","nuclear chromosome","54/772","101/8256",0.534653465346535,5.71774483147797,15.3208708373188,1.08907097000351e-29,5.71762259251844e-28,5.71762259251844e-28,"ENSG00000143799/ENSG00000136518/ENSG00000180198/ENSG00000062822/ENSG00000010292/ENSG00000012048/ENSG00000113810/ENSG00000065328/ENSG00000111602/ENSG00000164754/ENSG00000136824/ENSG00000100479/ENSG00000139618/ENSG00000149554/ENSG00000181938/ENSG00000197299/ENSG00000101003/ENSG00000077935/ENSG00000073111/ENSG00000085840/ENSG00000163781/ENSG00000121152/ENSG00000146918/ENSG00000104738/ENSG00000196591/ENSG00000198554/ENSG00000166851/ENSG00000198056/ENSG00000089685/ENSG00000109805/ENSG00000139146/ENSG00000146263/ENSG00000131747/ENSG00000166508/ENSG00000154920/ENSG00000131470/ENSG00000116750/ENSG00000147536/ENSG00000100297/ENSG00000146143/ENSG00000149503/ENSG00000112118/ENSG00000132646/ENSG00000143401/ENSG00000051180/ENSG00000142453/ENSG00000075131/ENSG00000076003/ENSG00000131153/ENSG00000101412/ENSG00000117650/ENSG00000091651/ENSG00000177084/ENSG00000175792",54
"GO:0000922","GO:0000922","spindle pole","44/772","75/8256",0.586666666666667,6.2739896373057,14.7355722798928,1.14190014761058e-26,5.32886735551605e-25,5.32886735551605e-25,"ENSG00000139734/ENSG00000138160/ENSG00000149636/ENSG00000101224/ENSG00000126787/ENSG00000117724/ENSG00000178999/ENSG00000127423/ENSG00000076382/ENSG00000130695/ENSG00000164754/ENSG00000040275/ENSG00000075702/ENSG00000184445/ENSG00000175216/ENSG00000087586/ENSG00000094804/ENSG00000088325/ENSG00000163781/ENSG00000101447/ENSG00000013573/ENSG00000117399/ENSG00000188807/ENSG00000129810/ENSG00000128944/ENSG00000066279/ENSG00000163808/ENSG00000134222/ENSG00000121957/ENSG00000166851/ENSG00000164087/ENSG00000134057/ENSG00000138182/ENSG00000013810/ENSG00000198901/ENSG00000164109/ENSG00000213024/ENSG00000136108/ENSG00000163029/ENSG00000131351/ENSG00000101146/ENSG00000169607/ENSG00000072864/ENSG00000117650",44
"GO:0005730","GO:0005730","nucleolus","95/772","322/8256",0.295031055900621,3.15515077398384,12.6695093413061,6.38394956848108e-26,2.68125881876205e-24,2.68125881876205e-24,"ENSG00000187801/ENSG00000187772/ENSG00000066044/ENSG00000143799/ENSG00000149636/ENSG00000129195/ENSG00000105821/ENSG00000124787/ENSG00000147649/ENSG00000198860/ENSG00000135372/ENSG00000105171/ENSG00000253729/ENSG00000132964/ENSG00000111206/ENSG00000010292/ENSG00000143319/ENSG00000111726/ENSG00000124795/ENSG00000130826/ENSG00000142731/ENSG00000130695/ENSG00000065328/ENSG00000179051/ENSG00000136824/ENSG00000143621/ENSG00000171316/ENSG00000134697/ENSG00000143633/ENSG00000148773/ENSG00000278023/ENSG00000197299/ENSG00000000460/ENSG00000129173/ENSG00000186193/ENSG00000145220/ENSG00000013573/ENSG00000024526/ENSG00000112578/ENSG00000152782/ENSG00000107937/ENSG00000203760/ENSG00000145604/ENSG00000164362/ENSG00000111845/ENSG00000070814/ENSG00000135763/ENSG00000149136/ENSG00000164934/ENSG00000135446/ENSG00000055044/ENSG00000186185/ENSG00000101361/ENSG00000164649/ENSG00000117877/ENSG00000124541/ENSG00000144554/ENSG00000141543/ENSG00000138182/ENSG00000166986/ENSG00000005189/ENSG00000115761/ENSG00000108561/ENSG00000131747/ENSG00000154920/ENSG00000137168/ENSG00000109685/ENSG00000189091/ENSG00000096433/ENSG00000116750/ENSG00000113460/ENSG00000163950/ENSG00000168496/ENSG00000197498/ENSG00000080608/ENSG00000104356/ENSG00000136938/ENSG00000127616/ENSG00000029993/ENSG00000183763/ENSG00000123485/ENSG00000101146/ENSG00000178409/ENSG00000051180/ENSG00000134690/ENSG00000164104/ENSG00000125351/ENSG00000132341/ENSG00000147669/ENSG00000106144/ENSG00000117650/ENSG00000160208/ENSG00000091651/ENSG00000161888/ENSG00000126249",95
"GO:0005813","GO:0005813","centrosome","77/772","236/8256",0.326271186440678,3.48924211820497,12.4605226103172,3.7371996111776e-24,1.42693076063145e-22,1.42693076063145e-22,"ENSG00000133739/ENSG00000101224/ENSG00000117155/ENSG00000126787/ENSG00000157456/ENSG00000154839/ENSG00000117724/ENSG00000154429/ENSG00000178999/ENSG00000127423/ENSG00000076382/ENSG00000142731/ENSG00000170312/ENSG00000130695/ENSG00000166803/ENSG00000178295/ENSG00000237649/ENSG00000104419/ENSG00000120539/ENSG00000156261/ENSG00000156787/ENSG00000139618/ENSG00000040275/ENSG00000075702/ENSG00000175216/ENSG00000149554/ENSG00000204899/ENSG00000087586/ENSG00000123473/ENSG00000163781/ENSG00000196584/ENSG00000162063/ENSG00000186638/ENSG00000013573/ENSG00000138180/ENSG00000117399/ENSG00000188807/ENSG00000129810/ENSG00000128944/ENSG00000066279/ENSG00000163808/ENSG00000080986/ENSG00000166851/ENSG00000164087/ENSG00000134057/ENSG00000135476/ENSG00000138182/ENSG00000150753/ENSG00000156970/ENSG00000112877/ENSG00000121621/ENSG00000114346/ENSG00000013810/ENSG00000072571/ENSG00000120647/ENSG00000213024/ENSG00000136108/ENSG00000102900/ENSG00000213190/ENSG00000131351/ENSG00000156876/ENSG00000132646/ENSG00000137807/ENSG00000177602/ENSG00000143476/ENSG00000122483/ENSG00000165480/ENSG00000123374/ENSG00000184368/ENSG00000169607/ENSG00000051180/ENSG00000198331/ENSG00000072864/ENSG00000151725/ENSG00000117650/ENSG00000142945/ENSG00000175792",77
"GO:0005815","GO:0005815","microtubule organizing center","89/772","309/8256",0.288025889967638,3.08023542431712,11.969897195828,1.72626853470585e-23,6.04193987147049e-22,6.04193987147049e-22,"ENSG00000145386/ENSG00000139734/ENSG00000133739/ENSG00000101224/ENSG00000117155/ENSG00000126787/ENSG00000157456/ENSG00000154839/ENSG00000117724/ENSG00000154429/ENSG00000178999/ENSG00000127423/ENSG00000012048/ENSG00000076382/ENSG00000105173/ENSG00000142731/ENSG00000170312/ENSG00000130695/ENSG00000166803/ENSG00000178295/ENSG00000145979/ENSG00000237649/ENSG00000104419/ENSG00000120539/ENSG00000093009/ENSG00000156261/ENSG00000156787/ENSG00000139618/ENSG00000040275/ENSG00000075702/ENSG00000175216/ENSG00000149554/ENSG00000204899/ENSG00000087586/ENSG00000123473/ENSG00000163781/ENSG00000196584/ENSG00000162063/ENSG00000186638/ENSG00000013573/ENSG00000138180/ENSG00000117399/ENSG00000188807/ENSG00000129810/ENSG00000128944/ENSG00000066279/ENSG00000163808/ENSG00000080986/ENSG00000166851/ENSG00000089685/ENSG00000164087/ENSG00000145979/ENSG00000134057/ENSG00000135476/ENSG00000138182/ENSG00000150753/ENSG00000156970/ENSG00000112877/ENSG00000121621/ENSG00000131747/ENSG00000114346/ENSG00000013810/ENSG00000072571/ENSG00000120647/ENSG00000213024/ENSG00000136108/ENSG00000102900/ENSG00000213190/ENSG00000131351/ENSG00000156876/ENSG00000132646/ENSG00000175305/ENSG00000137807/ENSG00000177602/ENSG00000143476/ENSG00000178053/ENSG00000122483/ENSG00000165480/ENSG00000123374/ENSG00000184368/ENSG00000169607/ENSG00000051180/ENSG00000198331/ENSG00000072864/ENSG00000151725/ENSG00000132341/ENSG00000117650/ENSG00000142945/ENSG00000175792",89
"GO:0140535","GO:0140535","intracellular protein-containing complex","82/772","277/8256",0.296028880866426,3.16582181403266,11.7757526612697,1.54848943299347e-22,5.00281201428661e-21,5.00281201428661e-21,"ENSG00000108671/ENSG00000100567/ENSG00000161800/ENSG00000167977/ENSG00000138376/ENSG00000124787/ENSG00000136518/ENSG00000127337/ENSG00000143106/ENSG00000105171/ENSG00000253729/ENSG00000068878/ENSG00000117724/ENSG00000062822/ENSG00000117148/ENSG00000012048/ENSG00000116161/ENSG00000126067/ENSG00000136628/ENSG00000213551/ENSG00000100479/ENSG00000156261/ENSG00000064313/ENSG00000139618/ENSG00000163444/ENSG00000115233/ENSG00000160803/ENSG00000174013/ENSG00000162063/ENSG00000117399/ENSG00000116455/ENSG00000145604/ENSG00000106305/ENSG00000065978/ENSG00000124802/ENSG00000164362/ENSG00000168439/ENSG00000198056/ENSG00000164934/ENSG00000203995/ENSG00000213160/ENSG00000104889/ENSG00000117877/ENSG00000175063/ENSG00000146731/ENSG00000166986/ENSG00000150753/ENSG00000156970/ENSG00000113356/ENSG00000114346/ENSG00000173207/ENSG00000166226/ENSG00000154920/ENSG00000163872/ENSG00000116750/ENSG00000169139/ENSG00000090520/ENSG00000064995/ENSG00000120533/ENSG00000146143/ENSG00000123975/ENSG00000112118/ENSG00000164758/ENSG00000261609/ENSG00000104356/ENSG00000137807/ENSG00000143476/ENSG00000173894/ENSG00000175166/ENSG00000096384/ENSG00000123908/ENSG00000185686/ENSG00000135624/ENSG00000197170/ENSG00000144580/ENSG00000112130/ENSG00000147669/ENSG00000183527/ENSG00000077721/ENSG00000041357/ENSG00000177084/ENSG00000175792",82
"GO:0072686","GO:0072686","mitotic spindle","40/772","76/8256",0.526315789473684,5.6285792200709,13.0190155318354,6.28828949810007e-22,1.88648684943002e-20,1.88648684943002e-20,"ENSG00000138160/ENSG00000161800/ENSG00000126787/ENSG00000154839/ENSG00000104833/ENSG00000154429/ENSG00000178999/ENSG00000076382/ENSG00000170312/ENSG00000179051/ENSG00000237649/ENSG00000087586/ENSG00000138778/ENSG00000088325/ENSG00000101447/ENSG00000196230/ENSG00000128944/ENSG00000066279/ENSG00000121957/ENSG00000097046/ENSG00000166851/ENSG00000186185/ENSG00000135476/ENSG00000138182/ENSG00000121621/ENSG00000114346/ENSG00000198901/ENSG00000163872/ENSG00000112984/ENSG00000164109/ENSG00000213024/ENSG00000136108/ENSG00000163029/ENSG00000131351/ENSG00000171241/ENSG00000079616/ENSG00000137807/ENSG00000165480/ENSG00000101146/ENSG00000169607",40
"GO:0030496","GO:0030496","midbody","35/772","75/8256",0.466666666666667,4.99067357512953,11.1499761955962,3.58490708882553e-17,1.00377398487115e-15,1.00377398487115e-15,"ENSG00000161800/ENSG00000135372/ENSG00000117394/ENSG00000117724/ENSG00000178999/ENSG00000076382/ENSG00000170312/ENSG00000179051/ENSG00000164695/ENSG00000087586/ENSG00000138778/ENSG00000000460/ENSG00000013573/ENSG00000138180/ENSG00000118193/ENSG00000066279/ENSG00000134222/ENSG00000135763/ENSG00000166851/ENSG00000089685/ENSG00000138182/ENSG00000114346/ENSG00000198901/ENSG00000112984/ENSG00000213024/ENSG00000011426/ENSG00000171241/ENSG00000149503/ENSG00000137807/ENSG00000184368/ENSG00000134690/ENSG00000132341/ENSG00000112130/ENSG00000090889/ENSG00000117650",35
"GO:0005657","GO:0005657","replication fork","24/772","36/8256",0.666666666666667,7.12953367875648,11.8370389532305,6.02486863961446e-17,1.5815280178988e-15,1.5815280178988e-15,"ENSG00000143799/ENSG00000133119/ENSG00000062822/ENSG00000130816/ENSG00000065328/ENSG00000111602/ENSG00000149554/ENSG00000197299/ENSG00000196584/ENSG00000136492/ENSG00000198554/ENSG00000198056/ENSG00000176890/ENSG00000146263/ENSG00000154920/ENSG00000276043/ENSG00000146143/ENSG00000159147/ENSG00000112118/ENSG00000132646/ENSG00000049541/ENSG00000142453/ENSG00000075131/ENSG00000163918",24
"GO:0000940","GO:0000940","outer kinetochore","16/772","17/8256",0.941176470588235,10.065224017068,12.0161696016306,4.60408574462033e-16,1.13748000749444e-14,1.13748000749443e-14,"ENSG00000149636/ENSG00000154839/ENSG00000117724/ENSG00000122952/ENSG00000040275/ENSG00000080986/ENSG00000166851/ENSG00000134057/ENSG00000156970/ENSG00000143228/ENSG00000152253/ENSG00000182628/ENSG00000165480/ENSG00000169679/ENSG00000137812/ENSG00000161888",16
"GO:0000781","GO:0000781","chromosome, telomeric region","33/772","72/8256",0.458333333333333,4.90155440414508,10.6787742257984,5.70798426365175e-16,1.33186299485208e-14,1.33186299485208e-14,"ENSG00000143799/ENSG00000138346/ENSG00000135372/ENSG00000253729/ENSG00000062822/ENSG00000170312/ENSG00000183765/ENSG00000122565/ENSG00000139618/ENSG00000149554/ENSG00000197299/ENSG00000073111/ENSG00000085840/ENSG00000108468/ENSG00000104738/ENSG00000004487/ENSG00000196591/ENSG00000164362/ENSG00000095002/ENSG00000124535/ENSG00000166508/ENSG00000163029/ENSG00000140451/ENSG00000100297/ENSG00000168496/ENSG00000112118/ENSG00000132646/ENSG00000111247/ENSG00000123374/ENSG00000051180/ENSG00000076003/ENSG00000106462/ENSG00000112130",33
"GO:1990234","GO:1990234","transferase complex","70/772","274/8256",0.255474452554745,2.73212057032639,9.36478559130314,1.38342321003882e-15,3.05809341166476e-14,3.05809341166476e-14,"ENSG00000145386/ENSG00000167977/ENSG00000138376/ENSG00000157456/ENSG00000136518/ENSG00000127337/ENSG00000102225/ENSG00000132964/ENSG00000062822/ENSG00000117148/ENSG00000012048/ENSG00000116161/ENSG00000105173/ENSG00000170312/ENSG00000148459/ENSG00000152256/ENSG00000100479/ENSG00000124784/ENSG00000143977/ENSG00000064313/ENSG00000163444/ENSG00000167088/ENSG00000174013/ENSG00000162063/ENSG00000117399/ENSG00000116455/ENSG00000004487/ENSG00000196591/ENSG00000145604/ENSG00000164362/ENSG00000198056/ENSG00000164934/ENSG00000135446/ENSG00000134057/ENSG00000203995/ENSG00000213160/ENSG00000117877/ENSG00000175063/ENSG00000188706/ENSG00000156970/ENSG00000113356/ENSG00000173207/ENSG00000163872/ENSG00000169139/ENSG00000163029/ENSG00000064995/ENSG00000120533/ENSG00000146143/ENSG00000160193/ENSG00000123975/ENSG00000181192/ENSG00000112118/ENSG00000164758/ENSG00000132646/ENSG00000261609/ENSG00000175305/ENSG00000143476/ENSG00000173894/ENSG00000203668/ENSG00000123374/ENSG00000176749/ENSG00000185686/ENSG00000106462/ENSG00000112130/ENSG00000147669/ENSG00000132768/ENSG00000077721/ENSG00000006634/ENSG00000177084/ENSG00000175792",70
"GO:1990904","GO:1990904","ribonucleoprotein complex","56/772","196/8256",0.285714285714286,3.05551443375278,9.35365495040302,6.28570312274224e-15,1.31999765577587e-13,1.31999765577587e-13,"ENSG00000066044/ENSG00000131876/ENSG00000198952/ENSG00000124787/ENSG00000124571/ENSG00000135372/ENSG00000105171/ENSG00000253729/ENSG00000114686/ENSG00000012048/ENSG00000111196/ENSG00000136628/ENSG00000130826/ENSG00000115128/ENSG00000151846/ENSG00000143621/ENSG00000124784/ENSG00000143633/ENSG00000143977/ENSG00000104413/ENSG00000106615/ENSG00000167088/ENSG00000108468/ENSG00000112578/ENSG00000204392/ENSG00000111640/ENSG00000065978/ENSG00000164362/ENSG00000149657/ENSG00000164934/ENSG00000107105/ENSG00000055044/ENSG00000101361/ENSG00000124541/ENSG00000141543/ENSG00000115761/ENSG00000131747/ENSG00000134453/ENSG00000168883/ENSG00000137168/ENSG00000189091/ENSG00000213024/ENSG00000163950/ENSG00000172172/ENSG00000136522/ENSG00000070756/ENSG00000104356/ENSG00000116221/ENSG00000123908/ENSG00000179455/ENSG00000162385/ENSG00000137547/ENSG00000197451/ENSG00000119203/ENSG00000160208/ENSG00000175792",56
