"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019866","GO:0019866","organelle inner membrane","73/526","199/6929",0.366834170854271,4.83230792747005,15.7211555333338,1.00479500717931e-32,2.88683905715676e-30,2.88683905715676e-30,"ENSG00000175756/ENSG00000111639/ENSG00000214026/ENSG00000177542/ENSG00000160072/ENSG00000135940/ENSG00000105197/ENSG00000112651/ENSG00000124172/ENSG00000254858/ENSG00000105364/ENSG00000137288/ENSG00000156411/ENSG00000174886/ENSG00000204922/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000109736/ENSG00000184983/ENSG00000102898/ENSG00000145494/ENSG00000148824/ENSG00000197345/ENSG00000183048/ENSG00000130204/ENSG00000229833/ENSG00000126267/ENSG00000233954/ENSG00000180992/ENSG00000139180/ENSG00000134809/ENSG00000242114/ENSG00000174547/ENSG00000172586/ENSG00000167862/ENSG00000111775/ENSG00000184076/ENSG00000262814/ENSG00000175701/ENSG00000130748/ENSG00000173660/ENSG00000169020/ENSG00000145247/ENSG00000158042/ENSG00000162910/ENSG00000165283/ENSG00000104980/ENSG00000179271/ENSG00000125995/ENSG00000171421/ENSG00000125445/ENSG00000144120/ENSG00000099800/ENSG00000178741/ENSG00000128626/ENSG00000147123/ENSG00000119421/ENSG00000176340/ENSG00000099795/ENSG00000172590/ENSG00000197785/ENSG00000125901/ENSG00000099624/ENSG00000170906/ENSG00000119013/ENSG00000126768/ENSG00000112695/ENSG00000061656/ENSG00000013306/ENSG00000116898/ENSG00000110717/ENSG00000125356",73
"GO:0005743","GO:0005743","mitochondrial inner membrane","70/526","184/6929",0.380434782608696,5.01146883782443,15.8061616077318,1.47287706997794e-32,2.88683905715676e-30,2.88683905715676e-30,"ENSG00000175756/ENSG00000111639/ENSG00000214026/ENSG00000177542/ENSG00000160072/ENSG00000135940/ENSG00000105197/ENSG00000112651/ENSG00000124172/ENSG00000254858/ENSG00000105364/ENSG00000137288/ENSG00000156411/ENSG00000174886/ENSG00000204922/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000184983/ENSG00000145494/ENSG00000148824/ENSG00000197345/ENSG00000183048/ENSG00000130204/ENSG00000229833/ENSG00000126267/ENSG00000233954/ENSG00000180992/ENSG00000139180/ENSG00000134809/ENSG00000242114/ENSG00000174547/ENSG00000172586/ENSG00000167862/ENSG00000111775/ENSG00000184076/ENSG00000262814/ENSG00000175701/ENSG00000130748/ENSG00000173660/ENSG00000169020/ENSG00000145247/ENSG00000158042/ENSG00000162910/ENSG00000165283/ENSG00000104980/ENSG00000179271/ENSG00000125995/ENSG00000171421/ENSG00000125445/ENSG00000144120/ENSG00000099800/ENSG00000178741/ENSG00000128626/ENSG00000147123/ENSG00000119421/ENSG00000176340/ENSG00000099795/ENSG00000172590/ENSG00000197785/ENSG00000125901/ENSG00000099624/ENSG00000170906/ENSG00000119013/ENSG00000126768/ENSG00000112695/ENSG00000013306/ENSG00000116898/ENSG00000110717/ENSG00000125356",70
"GO:0005740","GO:0005740","mitochondrial envelope","80/526","303/6929",0.264026402640264,3.47802080588287,12.6417037181898,1.01967366054853e-24,1.33237358311675e-22,1.33237358311675e-22,"ENSG00000175756/ENSG00000111639/ENSG00000214026/ENSG00000172757/ENSG00000177542/ENSG00000160072/ENSG00000135940/ENSG00000105197/ENSG00000112651/ENSG00000124172/ENSG00000254858/ENSG00000105364/ENSG00000137288/ENSG00000156411/ENSG00000174886/ENSG00000204922/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000184983/ENSG00000145494/ENSG00000100300/ENSG00000148824/ENSG00000197345/ENSG00000183048/ENSG00000130204/ENSG00000229833/ENSG00000126267/ENSG00000233954/ENSG00000180992/ENSG00000139180/ENSG00000134809/ENSG00000242114/ENSG00000106153/ENSG00000174547/ENSG00000172586/ENSG00000167862/ENSG00000111775/ENSG00000184076/ENSG00000262814/ENSG00000172009/ENSG00000175701/ENSG00000130748/ENSG00000170638/ENSG00000173660/ENSG00000169020/ENSG00000026297/ENSG00000145247/ENSG00000158042/ENSG00000162910/ENSG00000165283/ENSG00000104980/ENSG00000179271/ENSG00000125995/ENSG00000171421/ENSG00000125445/ENSG00000144120/ENSG00000133027/ENSG00000099800/ENSG00000178741/ENSG00000169230/ENSG00000128626/ENSG00000087088/ENSG00000142168/ENSG00000147123/ENSG00000119421/ENSG00000176340/ENSG00000099795/ENSG00000172590/ENSG00000197785/ENSG00000125901/ENSG00000099624/ENSG00000170906/ENSG00000119013/ENSG00000126768/ENSG00000112695/ENSG00000013306/ENSG00000116898/ENSG00000110717/ENSG00000125356",80
"GO:1990904","GO:1990904","ribonucleoprotein complex","62/526","193/6929",0.321243523316062,4.23174215410075,13.0502664560098,3.42554821338111e-24,3.35703724911349e-22,3.35703724911349e-22,"ENSG00000106263/ENSG00000109475/ENSG00000175756/ENSG00000111639/ENSG00000214026/ENSG00000160214/ENSG00000071626/ENSG00000100029/ENSG00000184281/ENSG00000112651/ENSG00000124562/ENSG00000105364/ENSG00000125743/ENSG00000160256/ENSG00000124614/ENSG00000182117/ENSG00000172336/ENSG00000101945/ENSG00000197345/ENSG00000053372/ENSG00000126749/ENSG00000187051/ENSG00000105372/ENSG00000178718/ENSG00000180992/ENSG00000072506/ENSG00000181817/ENSG00000125835/ENSG00000105202/ENSG00000204392/ENSG00000105640/ENSG00000125970/ENSG00000174547/ENSG00000077312/ENSG00000172586/ENSG00000145912/ENSG00000184967/ENSG00000167862/ENSG00000130332/ENSG00000262814/ENSG00000158042/ENSG00000162910/ENSG00000139343/ENSG00000179271/ENSG00000183207/ENSG00000119705/ENSG00000171421/ENSG00000125445/ENSG00000130520/ENSG00000152464/ENSG00000188976/ENSG00000128626/ENSG00000117395/ENSG00000172590/ENSG00000125901/ENSG00000114767/ENSG00000227057/ENSG00000037241/ENSG00000105618/ENSG00000141759/ENSG00000116898/ENSG00000183684",62
"GO:0031967","GO:0031967","organelle envelope","100/526","460/6929",0.217391304347826,2.86369647875682,11.8560653814686,9.88929220521373e-24,7.75320508888757e-22,7.75320508888757e-22,"ENSG00000175756/ENSG00000111639/ENSG00000214026/ENSG00000172757/ENSG00000091073/ENSG00000177542/ENSG00000160072/ENSG00000135940/ENSG00000242372/ENSG00000105197/ENSG00000112651/ENSG00000124172/ENSG00000254858/ENSG00000105364/ENSG00000137288/ENSG00000156411/ENSG00000174886/ENSG00000204922/ENSG00000241468/ENSG00000090266/ENSG00000100401/ENSG00000167863/ENSG00000109736/ENSG00000184983/ENSG00000101945/ENSG00000102898/ENSG00000145494/ENSG00000100300/ENSG00000148824/ENSG00000197345/ENSG00000183048/ENSG00000130204/ENSG00000175334/ENSG00000229833/ENSG00000126267/ENSG00000233954/ENSG00000180992/ENSG00000139180/ENSG00000134809/ENSG00000105677/ENSG00000242114/ENSG00000106153/ENSG00000174547/ENSG00000224051/ENSG00000172586/ENSG00000132507/ENSG00000132661/ENSG00000184967/ENSG00000167862/ENSG00000111775/ENSG00000184076/ENSG00000106089/ENSG00000262814/ENSG00000172009/ENSG00000175701/ENSG00000130748/ENSG00000170638/ENSG00000173660/ENSG00000052749/ENSG00000169020/ENSG00000026297/ENSG00000145247/ENSG00000158042/ENSG00000162910/ENSG00000165283/ENSG00000104980/ENSG00000179271/ENSG00000125995/ENSG00000213719/ENSG00000171421/ENSG00000125445/ENSG00000144120/ENSG00000133027/ENSG00000099800/ENSG00000178741/ENSG00000169230/ENSG00000128626/ENSG00000087088/ENSG00000214078/ENSG00000142168/ENSG00000147123/ENSG00000147155/ENSG00000119421/ENSG00000176340/ENSG00000099795/ENSG00000172590/ENSG00000197785/ENSG00000125901/ENSG00000099624/ENSG00000170906/ENSG00000119013/ENSG00000126768/ENSG00000112695/ENSG00000141562/ENSG00000157020/ENSG00000061656/ENSG00000013306/ENSG00000116898/ENSG00000110717/ENSG00000125356",100
"GO:0031966","GO:0031966","mitochondrial membrane","75/526","283/6929",0.265017667844523,3.49107874618764,12.2632495591842,2.74265172113126e-23,1.79186579113909e-21,1.79186579113909e-21,"ENSG00000175756/ENSG00000111639/ENSG00000214026/ENSG00000172757/ENSG00000177542/ENSG00000160072/ENSG00000135940/ENSG00000105197/ENSG00000112651/ENSG00000124172/ENSG00000254858/ENSG00000105364/ENSG00000137288/ENSG00000156411/ENSG00000174886/ENSG00000204922/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000184983/ENSG00000145494/ENSG00000100300/ENSG00000148824/ENSG00000197345/ENSG00000183048/ENSG00000130204/ENSG00000229833/ENSG00000126267/ENSG00000233954/ENSG00000180992/ENSG00000139180/ENSG00000134809/ENSG00000242114/ENSG00000174547/ENSG00000172586/ENSG00000167862/ENSG00000111775/ENSG00000184076/ENSG00000262814/ENSG00000175701/ENSG00000130748/ENSG00000170638/ENSG00000173660/ENSG00000169020/ENSG00000145247/ENSG00000158042/ENSG00000162910/ENSG00000165283/ENSG00000104980/ENSG00000179271/ENSG00000125995/ENSG00000171421/ENSG00000125445/ENSG00000144120/ENSG00000133027/ENSG00000099800/ENSG00000178741/ENSG00000128626/ENSG00000087088/ENSG00000147123/ENSG00000119421/ENSG00000176340/ENSG00000099795/ENSG00000172590/ENSG00000197785/ENSG00000125901/ENSG00000099624/ENSG00000170906/ENSG00000119013/ENSG00000126768/ENSG00000112695/ENSG00000013306/ENSG00000116898/ENSG00000110717/ENSG00000125356",75
"GO:0098803","GO:0098803","respiratory chain complex","27/526","44/6929",0.613636363636364,8.08343415139993,13.5090026728996,6.28884982803556e-20,3.52175590369991e-18,3.52175590369991e-18,"ENSG00000135940/ENSG00000124172/ENSG00000156411/ENSG00000174886/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000184983/ENSG00000145494/ENSG00000126267/ENSG00000233954/ENSG00000139180/ENSG00000111775/ENSG00000184076/ENSG00000173660/ENSG00000169020/ENSG00000178741/ENSG00000147123/ENSG00000119421/ENSG00000176340/ENSG00000099795/ENSG00000099624/ENSG00000170906/ENSG00000119013/ENSG00000112695/ENSG00000110717/ENSG00000125356",27
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","29/526","61/6929",0.475409836065574,6.26257557813377,11.8318643225956,3.53300805763191e-17,1.73117394823964e-15,1.73117394823964e-15,"ENSG00000111639/ENSG00000214026/ENSG00000105197/ENSG00000112651/ENSG00000105364/ENSG00000137288/ENSG00000197345/ENSG00000130204/ENSG00000180992/ENSG00000072506/ENSG00000134809/ENSG00000174547/ENSG00000167862/ENSG00000262814/ENSG00000170638/ENSG00000158042/ENSG00000162910/ENSG00000104980/ENSG00000179271/ENSG00000125995/ENSG00000171421/ENSG00000125445/ENSG00000099800/ENSG00000128626/ENSG00000087088/ENSG00000172590/ENSG00000125901/ENSG00000126768/ENSG00000116898",29
"GO:0005759","GO:0005759","mitochondrial matrix","51/526","195/6929",0.261538461538462,3.44524714828897,9.92678398594046,8.79163150574844e-16,3.82924394472599e-14,3.82924394472599e-14,"ENSG00000106268/ENSG00000175756/ENSG00000111639/ENSG00000214026/ENSG00000123989/ENSG00000146701/ENSG00000224877/ENSG00000164896/ENSG00000112651/ENSG00000124172/ENSG00000116863/ENSG00000136270/ENSG00000105364/ENSG00000137288/ENSG00000106028/ENSG00000148824/ENSG00000197345/ENSG00000163170/ENSG00000180992/ENSG00000139180/ENSG00000072506/ENSG00000174547/ENSG00000172586/ENSG00000177192/ENSG00000167862/ENSG00000169972/ENSG00000167985/ENSG00000125656/ENSG00000262814/ENSG00000156990/ENSG00000128309/ENSG00000158042/ENSG00000162910/ENSG00000104980/ENSG00000179271/ENSG00000119705/ENSG00000171421/ENSG00000125445/ENSG00000114956/ENSG00000128626/ENSG00000142168/ENSG00000196365/ENSG00000172590/ENSG00000197785/ENSG00000125901/ENSG00000099624/ENSG00000130734/ENSG00000115541/ENSG00000126432/ENSG00000116898/ENSG00000110717",51
"GO:0044391","GO:0044391","ribosomal subunit","23/526","45/6929",0.511111111111111,6.73286861005492,11.0576509101405,9.427483370431e-15,3.69557348120895e-13,3.69557348120895e-13,"ENSG00000109475/ENSG00000111639/ENSG00000214026/ENSG00000112651/ENSG00000105364/ENSG00000124614/ENSG00000197345/ENSG00000105372/ENSG00000180992/ENSG00000105640/ENSG00000174547/ENSG00000167862/ENSG00000262814/ENSG00000158042/ENSG00000162910/ENSG00000179271/ENSG00000171421/ENSG00000125445/ENSG00000128626/ENSG00000172590/ENSG00000125901/ENSG00000037241/ENSG00000116898",23
"GO:0005840","GO:0005840","ribosome","26/526","59/6929",0.440677966101695,5.80505252303925,10.6230894200457,1.57327032755324e-14,5.60656334909881e-13,5.60656334909881e-13,"ENSG00000109475/ENSG00000175756/ENSG00000111639/ENSG00000214026/ENSG00000112651/ENSG00000105364/ENSG00000124614/ENSG00000148824/ENSG00000197345/ENSG00000105372/ENSG00000180992/ENSG00000105640/ENSG00000174547/ENSG00000172586/ENSG00000167862/ENSG00000262814/ENSG00000158042/ENSG00000162910/ENSG00000179271/ENSG00000171421/ENSG00000125445/ENSG00000128626/ENSG00000172590/ENSG00000125901/ENSG00000037241/ENSG00000116898",26
"GO:0000313","GO:0000313","organellar ribosome","20/526","36/6929",0.555555555555556,7.31833544571187,10.8931842897786,6.62075000791126e-14,1.99641077161632e-12,1.99641077161632e-12,"ENSG00000111639/ENSG00000214026/ENSG00000112651/ENSG00000105364/ENSG00000148824/ENSG00000197345/ENSG00000180992/ENSG00000174547/ENSG00000172586/ENSG00000167862/ENSG00000262814/ENSG00000158042/ENSG00000162910/ENSG00000179271/ENSG00000171421/ENSG00000125445/ENSG00000128626/ENSG00000172590/ENSG00000125901/ENSG00000116898",20
"GO:0005761","GO:0005761","mitochondrial ribosome","20/526","36/6929",0.555555555555556,7.31833544571187,10.8931842897786,6.62075000791126e-14,1.99641077161632e-12,1.99641077161632e-12,"ENSG00000111639/ENSG00000214026/ENSG00000112651/ENSG00000105364/ENSG00000148824/ENSG00000197345/ENSG00000180992/ENSG00000174547/ENSG00000172586/ENSG00000167862/ENSG00000262814/ENSG00000158042/ENSG00000162910/ENSG00000179271/ENSG00000171421/ENSG00000125445/ENSG00000128626/ENSG00000172590/ENSG00000125901/ENSG00000116898",20
"GO:0140513","GO:0140513","nuclear protein-containing complex","71/526","374/6929",0.189839572192513,2.50075740631545,8.55194716445288,1.20898082479315e-13,3.38514630942081e-12,3.38514630942081e-12,"ENSG00000051596/ENSG00000221829/ENSG00000111642/ENSG00000100029/ENSG00000184281/ENSG00000127922/ENSG00000169689/ENSG00000124562/ENSG00000064490/ENSG00000170892/ENSG00000125743/ENSG00000105619/ENSG00000071564/ENSG00000171453/ENSG00000182117/ENSG00000100401/ENSG00000182173/ENSG00000167797/ENSG00000172336/ENSG00000101945/ENSG00000102898/ENSG00000175279/ENSG00000126749/ENSG00000100142/ENSG00000213347/ENSG00000187051/ENSG00000008382/ENSG00000105372/ENSG00000175550/ENSG00000141552/ENSG00000181817/ENSG00000125835/ENSG00000105202/ENSG00000204392/ENSG00000125970/ENSG00000005075/ENSG00000077312/ENSG00000077348/ENSG00000196235/ENSG00000132507/ENSG00000145912/ENSG00000132661/ENSG00000116670/ENSG00000184967/ENSG00000105393/ENSG00000130332/ENSG00000174744/ENSG00000204435/ENSG00000139343/ENSG00000183207/ENSG00000130520/ENSG00000152464/ENSG00000188976/ENSG00000161036/ENSG00000105258/ENSG00000163882/ENSG00000204356/ENSG00000014138/ENSG00000108106/ENSG00000169727/ENSG00000114767/ENSG00000065268/ENSG00000227057/ENSG00000106400/ENSG00000162961/ENSG00000105618/ENSG00000157020/ENSG00000141759/ENSG00000106628/ENSG00000061656/ENSG00000183684",71
"GO:0015934","GO:0015934","large ribosomal subunit","17/526","35/6929",0.485714285714286,6.39831613253666,9.17617647217786,8.9998275424467e-11,2.35195493109274e-09,2.35195493109274e-09,"ENSG00000109475/ENSG00000111639/ENSG00000214026/ENSG00000112651/ENSG00000105364/ENSG00000197345/ENSG00000180992/ENSG00000105640/ENSG00000174547/ENSG00000167862/ENSG00000262814/ENSG00000158042/ENSG00000162910/ENSG00000179271/ENSG00000171421/ENSG00000172590/ENSG00000037241",17
"GO:0000315","GO:0000315","organellar large ribosomal subunit","14/526","26/6929",0.538461538461538,7.09315589353612,8.92103180409083,7.35277060527709e-10,1.69546239839331e-08,1.69546239839331e-08,"ENSG00000111639/ENSG00000214026/ENSG00000112651/ENSG00000105364/ENSG00000197345/ENSG00000180992/ENSG00000174547/ENSG00000167862/ENSG00000262814/ENSG00000158042/ENSG00000162910/ENSG00000179271/ENSG00000171421/ENSG00000172590",14
"GO:0005762","GO:0005762","mitochondrial large ribosomal subunit","14/526","26/6929",0.538461538461538,7.09315589353612,8.92103180409083,7.35277060527709e-10,1.69546239839331e-08,1.69546239839331e-08,"ENSG00000111639/ENSG00000214026/ENSG00000112651/ENSG00000105364/ENSG00000197345/ENSG00000180992/ENSG00000174547/ENSG00000167862/ENSG00000262814/ENSG00000158042/ENSG00000162910/ENSG00000179271/ENSG00000171421/ENSG00000172590",14
"GO:0030964","GO:0030964","NADH dehydrogenase complex","12/526","21/6929",0.571428571428571,7.52743074416078,8.58580096023728,5.05692150989973e-09,1.04332275362142e-07,1.04332275362142e-07,"ENSG00000174886/ENSG00000090266/ENSG00000184983/ENSG00000145494/ENSG00000139180/ENSG00000147123/ENSG00000119421/ENSG00000099795/ENSG00000170906/ENSG00000119013/ENSG00000110717/ENSG00000125356",12
"GO:0045271","GO:0045271","respiratory chain complex I","12/526","21/6929",0.571428571428571,7.52743074416078,8.58580096023728,5.05692150989973e-09,1.04332275362142e-07,1.04332275362142e-07,"ENSG00000174886/ENSG00000090266/ENSG00000184983/ENSG00000145494/ENSG00000139180/ENSG00000147123/ENSG00000119421/ENSG00000099795/ENSG00000170906/ENSG00000119013/ENSG00000110717/ENSG00000125356",12
"GO:0030532","GO:0030532","small nuclear ribonucleoprotein complex","12/526","23/6929",0.521739130434783,6.87287154901637,8.08548719696631,2.01891990019303e-08,3.95708300437833e-07,3.95708300437833e-07,"ENSG00000184281/ENSG00000124562/ENSG00000125743/ENSG00000181817/ENSG00000125835/ENSG00000204392/ENSG00000077312/ENSG00000130332/ENSG00000139343/ENSG00000130520/ENSG00000105618/ENSG00000141759",12
"GO:0030684","GO:0030684","preribosome","13/526","29/6929",0.448275862068966,5.90513963550544,7.58631530930825,5.2581073743533e-08,9.8151337654595e-07,9.8151337654595e-07,"ENSG00000160214/ENSG00000100029/ENSG00000160256/ENSG00000053372/ENSG00000126749/ENSG00000187051/ENSG00000105372/ENSG00000105202/ENSG00000184967/ENSG00000188976/ENSG00000117395/ENSG00000114767/ENSG00000227057",13
